method,V_RMSE_mean,V_RMSE_std,V_RMSE_median,V_RMSE_min,V_RMSE_max,V_MAE_mean,V_MAE_std,V_MAE_median,V_MAE_min,V_MAE_max,V_R2_mean,V_R2_std,V_R2_median,V_R2_min,V_R2_max,V_NLL_mean,V_NLL_std,V_NLL_median,V_NLL_min,V_NLL_max,V_CRPS_mean,V_CRPS_std,V_CRPS_median,V_CRPS_min,V_CRPS_max,V_NRMSE_mean,V_NRMSE_std,V_NRMSE_median,V_NRMSE_min,V_NRMSE_max,V_NMAE_mean,V_NMAE_std,V_NMAE_median,V_NMAE_min,V_NMAE_max,V_normalized_NLL_mean,V_normalized_NLL_std,V_normalized_NLL_median,V_normalized_NLL_min,V_normalized_NLL_max,V_normalized_CRPS_mean,V_normalized_CRPS_std,V_normalized_CRPS_median,V_normalized_CRPS_min,V_normalized_CRPS_max,TD_RMSE_mean,TD_RMSE_std,TD_RMSE_median,TD_RMSE_min,TD_RMSE_max,TD_MAE_mean,TD_MAE_std,TD_MAE_median,TD_MAE_min,TD_MAE_max,TD_R2_mean,TD_R2_std,TD_R2_median,TD_R2_min,TD_R2_max,TD_NLL_mean,TD_NLL_std,TD_NLL_median,TD_NLL_min,TD_NLL_max,TD_CRPS_mean,TD_CRPS_std,TD_CRPS_median,TD_CRPS_min,TD_CRPS_max,TD_NRMSE_mean,TD_NRMSE_std,TD_NRMSE_median,TD_NRMSE_min,TD_NRMSE_max,TD_NMAE_mean,TD_NMAE_std,TD_NMAE_median,TD_NMAE_min,TD_NMAE_max,TD_normalized_NLL_mean,TD_normalized_NLL_std,TD_normalized_NLL_median,TD_normalized_NLL_min,TD_normalized_NLL_max,TD_normalized_CRPS_mean,TD_normalized_CRPS_std,TD_normalized_CRPS_median,TD_normalized_CRPS_min,TD_normalized_CRPS_max,macro_NRMSE_mean,macro_NRMSE_std,macro_NRMSE_median,macro_NRMSE_min,macro_NRMSE_max,macro_NMAE_mean,macro_NMAE_std,macro_NMAE_median,macro_NMAE_min,macro_NMAE_max,macro_R2_mean,macro_R2_std,macro_R2_median,macro_R2_min,macro_R2_max,macro_normalized_NLL_mean,macro_normalized_NLL_std,macro_normalized_NLL_median,macro_normalized_NLL_min,macro_normalized_NLL_max,macro_normalized_CRPS_mean,macro_normalized_CRPS_std,macro_normalized_CRPS_median,macro_normalized_CRPS_min,macro_normalized_CRPS_max,macro_raw_RMSE_mean,macro_raw_RMSE_std,macro_raw_RMSE_median,macro_raw_RMSE_min,macro_raw_RMSE_max,macro_raw_MAE_mean,macro_raw_MAE_std,macro_raw_MAE_median,macro_raw_MAE_min,macro_raw_MAE_max,macro_raw_NLL_mean,macro_raw_NLL_std,macro_raw_NLL_median,macro_raw_NLL_min,macro_raw_NLL_max,macro_raw_CRPS_mean,macro_raw_CRPS_std,macro_raw_CRPS_median,macro_raw_CRPS_min,macro_raw_CRPS_max
Model Selection,0.8444431043250711,0.03607950080130866,0.8540401891436711,0.7845183220173165,0.8926581365207578,0.684355969204844,0.031060413197932145,0.6902715231097072,0.6354810252171954,0.7245293052977124,0.8242515235539674,0.014896232660404376,0.8205288654396445,0.8039313397084367,0.8485588052886707,1.4138127734335224,0.21997534723574505,1.3611204056892627,1.208816972349266,1.9662221541545726,0.4891226174197259,0.025172833836904256,0.49134779488287705,0.44949711037915757,0.5361873154538619,0.41887970248481404,0.017896967224964113,0.42364026481630435,0.38915446125070874,0.4427964095287622,0.33946967333382344,0.015407286260930528,0.3424040397192089,0.3152256219683129,0.3593973570157843,0.7127191839378033,0.21997534723574494,0.6600268161935439,0.5077233828535472,1.2651285646588533,0.24262562559158246,0.012486796439328863,0.243729408272697,0.22296968842429457,0.26597171795600927,0.7800198050834286,0.07149285005720865,0.7753868610739325,0.6779943779915532,0.8912258275027084,0.6048192136895578,0.057714141242239794,0.599324090739491,0.5319169659693628,0.7141813308451507,0.631266182029578,0.06763008113756472,0.638331107476644,0.5222440986632415,0.7235079057234418,1.3463847658828136,0.24104722061300105,1.289266272630929,1.0573926326444567,1.8646246982255092,0.44010715236225434,0.04382106926005791,0.4318802924911176,0.37938699502884093,0.508573012783963,0.6049519711432744,0.05544697747787715,0.6013588462091692,0.5258251556140673,0.691198886961458,0.46907344290788755,0.04476076540595016,0.46481164668341607,0.4125333933198003,0.5538903000062807,1.092214523728446,0.2410472206130013,1.035096030476561,0.803222390490089,1.610454456071142,0.3413293965110572,0.03398585786375335,0.3349489750615898,0.2942372859933642,0.39442876264023263,0.5119158368140442,0.02797193208590901,0.5062800740313045,0.4821621751344138,0.5572965040328055,0.4042715581208555,0.02407521490864826,0.39768768159202444,0.37669551350083874,0.4522568380202069,0.7277588527917727,0.03373853713837625,0.7326541773480466,0.6714907584388417,0.7637196227159393,0.9024668538331246,0.14409078191447583,0.8577941228094026,0.7515024918872976,1.1909954704063528,0.2919775110513198,0.017224078526753613,0.2870741823082522,0.2722662587422876,0.3191884498344281,0.8122314547042497,0.037829390817822196,0.7986034354621592,0.7630686848406876,0.8723849008603952,0.6445875914472009,0.033530806842973666,0.6322343955285399,0.6002238419731708,0.7105113376953434,1.3800987696581681,0.14409078191447583,1.3354260386344459,1.229134407712341,1.668627386231396,0.46461488489099007,0.023616210685871414,0.46011783859459465,0.4320587113757395,0.500180877621675
Model Selection + Bagging,0.8492988917607056,0.031004553759979032,0.8546780930268616,0.8019297988611772,0.909842546307282,0.699289802753619,0.032369575430061935,0.7052535665494216,0.6377014786591374,0.7535136249648338,0.8223032229316036,0.012977993649043975,0.8202595210426933,0.7963097089657283,0.841762086058069,1.2843395782892026,0.046608824276837005,1.268685789885776,1.22094939939235,1.3571467977273395,0.48580162787029735,0.017561114662188435,0.4865310149874944,0.4581736772320323,0.5195396234286426,0.42128837961883336,0.015379577603436714,0.4239566922788963,0.3977912944521673,0.45132060781031447,0.3468774900615926,0.01605668642002973,0.34983577060374016,0.316327061333947,0.3737748125680945,0.5832459887934834,0.046608824276836866,0.5675922003900573,0.5198558098966312,0.6560532082316197,0.24097827349965956,0.008711059924965021,0.24134008053802947,0.22727363468580908,0.2577137545161204,0.7966736582624951,0.06302926138264253,0.7808121790407476,0.7239798990522848,0.9436080971457417,0.6449002931524355,0.055735684592321574,0.6362284125229998,0.5837259901446054,0.7838417119583121,0.6160885088583545,0.0633074252179179,0.6332457653582082,0.46443294903022125,0.6847293446525419,1.2141946285270877,0.06382125603409872,1.2016676939183286,1.129275068040918,1.3624359937083113,0.45274680031118864,0.034574793586150766,0.4459767099387013,0.41224634927547327,0.5352486157028852,0.6178680294819847,0.048882958694947576,0.6055665044977339,0.5614896751922142,0.7318244673210774,0.5001587151902043,0.043226354045636725,0.4934331535491955,0.45271438756323507,0.6079160883136577,0.9600243863727199,0.06382125603409902,0.9474974517639607,0.8751048258865501,1.1082657515539445,0.35113219881355395,0.02681481854114797,0.34588158916369216,0.31972167881576086,0.4151172867803487,0.519578204550409,0.02904249679648766,0.513066730930093,0.4921749982642059,0.5915725375656959,0.4235181026258984,0.026434093517073796,0.413251739234509,0.4001520212091242,0.49084545044087613,0.7191958658949791,0.03556188440505391,0.728277998019101,0.6303713289979748,0.7529592466459949,0.7716351875831016,0.040195670142382664,0.7593575315390254,0.7277478612146082,0.8702327842041044,0.2960552361566067,0.01573807413055995,0.29292191231699727,0.2804327429037896,0.33641552064823455,0.8229862750116004,0.04146608999714827,0.8118186498137099,0.7874951646712838,0.9267253217265119,0.6720950479530272,0.03838122056692523,0.6593180288426572,0.6408358996770384,0.7686776684615729,1.249267103408145,0.04019567014238256,1.236989447364069,1.2053797770396517,1.3478647000291475,0.46927421409074305,0.0224323608481598,0.4629689577011385,0.449190842702077,0.5273941195657639
Single GP,0.9019940042162551,0.046442916350475406,0.8930754908838068,0.8516319562206166,1.0021208807011088,0.7217586072246605,0.04426654434918734,0.7179287323215466,0.6626510359883889,0.7862805357255866,0.7993310638729869,0.021078574025689453,0.803643503983385,0.7528969713722908,0.8215396484295212,1.816857876654781,0.2831422187874043,1.6810853953571383,1.5203613123726705,2.415474207241702,0.5360815340240936,0.03445952883455227,0.528354396844631,0.4934955906608773,0.5896924995527186,0.44742739705497714,0.023037662198642755,0.44300343504715345,0.42244567883987033,0.4970945872041952,0.35802297290562823,0.021958089102804113,0.35612319203021625,0.3287031031272633,0.390028594214853,1.115764287159062,0.2831422187874039,0.9799918058614195,0.8192677228769517,1.7143806177459822,0.265919245866886,0.01709339221559626,0.2620862571122681,0.24479480634614803,0.29251256538780585,0.7988032367917798,0.06644728092138423,0.8007716576571156,0.6962031421904916,0.8824554810092496,0.6131221699740569,0.050068069491844266,0.6069136191649511,0.5268948411752195,0.6790923485457361,0.613805246865102,0.06370817187662378,0.6142665345251206,0.5316008022941991,0.7084570856096968,1.3357272707523427,0.15954405425681786,1.366043651882705,1.024067874322468,1.5178420058076305,0.44731376497889264,0.03849691187804687,0.4434572984347498,0.3808314675720127,0.49439958319346083,0.6195196448904644,0.051533837100716864,0.6210462729001174,0.5399471403668168,0.6843969591587917,0.475512881673275,0.03883077985076294,0.4706977795112087,0.40863843543059697,0.5266766973911884,1.081557028597975,0.15954405425681784,1.1118734097283376,0.7698976321681004,1.2636717636532624,0.34691855524688575,0.02985665565384262,0.3439276349877807,0.2953575607691574,0.3834364210192173,0.5334735209727208,0.02470011267859024,0.5403652843390343,0.4965853892969113,0.5581526428136758,0.41676792728945167,0.015808173100457845,0.42357961291319,0.3857220100252703,0.43222022500698587,0.7065681553690444,0.030226509446285445,0.6996083540108701,0.6725279999106636,0.7515227096809864,1.0986606578785185,0.1570461274543587,1.0659825749490779,0.8715678389121566,1.3948901797598108,0.3064189005568859,0.013188873103853894,0.3125023422109984,0.28190537136984517,0.31810525018731034,0.8503986205040175,0.034032473975628336,0.8525107918114176,0.8028343916130821,0.897632612865694,0.6674403885993587,0.021748288431973326,0.6726105740774302,0.6291474919034838,0.6978977730259373,1.576292573703562,0.15704612745435884,1.5436144907741212,1.3491997547371999,1.8725220955848543,0.49169764950149314,0.018718022061879742,0.49878263196043865,0.4593533286120315,0.5136921998689442
