repeat,partition_seed,method,n_observations,V_RMSE,V_MAE,V_R2,V_NLL,V_CRPS,V_NRMSE,V_NMAE,V_normalized_NLL,V_normalized_CRPS,V_normalization_location,V_normalization_scale,TD_RMSE,TD_MAE,TD_R2,TD_NLL,TD_CRPS,TD_NRMSE,TD_NMAE,TD_normalized_NLL,TD_normalized_CRPS,TD_normalization_location,TD_normalization_scale,macro_NRMSE,macro_NMAE,macro_R2,macro_normalized_NLL,macro_normalized_CRPS,macro_raw_RMSE,macro_raw_MAE,macro_raw_NLL,macro_raw_CRPS,n_samples,n_targets
0,0,Single GP,50,0.8516319562206166,0.6840761909427449,0.8215396484295212,1.5203613123726705,0.4934955906608773,0.42244567883987033,0.33933089141401196,0.8192677228769517,0.24479480634614803,7.626792999999999,2.0159561308790925,0.7540368270055476,0.6108609110700902,0.6580082360673317,1.1780381971017295,0.42521106656318575,0.5848006189571523,0.4737591402652942,0.9238679549473616,0.32977659181592256,3.50061688,1.2893912943358141,0.5036231488985113,0.4065450158396531,0.7397739422484264,0.8715678389121566,0.2872856990810353,0.8028343916130821,0.6474685510064175,1.3491997547371999,0.4593533286120315,50,2
0,0,Model Selection,50,0.8193334714136644,0.6542380774009711,0.8348193238153083,1.3769638231551427,0.4738340051112852,0.4064242563931092,0.3245299177793514,0.6758702336594239,0.23504182350667605,7.626792999999999,2.0159561308790925,0.7831693399625539,0.6132740903191455,0.6310717711593171,1.2500239378878133,0.441748399358939,0.607394623651447,0.47563070497932314,0.995853695733445,0.3426022816343666,3.50061688,1.2893912943358141,0.5069094400222781,0.4000803113793373,0.7329455474873128,0.8358619646964345,0.28882205257052135,0.8012514056881092,0.6337560838600582,1.313493880521478,0.4577912022351121,50,2
0,0,Model Selection + Bagging,50,0.8601228470135264,0.7011932272301804,0.8179633590258164,1.3491988465440192,0.497354314735466,0.4266575218769541,0.3478216695739373,0.6481052570483006,0.24670889763785983,7.626792999999999,2.0159561308790925,0.770738488275426,0.6395982851128774,0.6426904479922354,1.169325294180047,0.4383608946486778,0.5977537553271955,0.49604669111896293,0.9151550520256793,0.3399750693015842,3.50061688,1.2893912943358141,0.5122056386020748,0.42193418034645014,0.7303269035090258,0.7816301545369899,0.293341983469722,0.8154306676444762,0.6703957561715289,1.2592620703620332,0.4678576046920719,50,2
1,1,Single GP,50,0.8707082387220216,0.6626510359883889,0.813455197527128,1.6609428216556277,0.4997613502209093,0.4319083264685598,0.3287031031272633,0.9598492321599084,0.24790288963429957,7.626792999999999,2.0159561308790925,0.8824554810092496,0.6790923485457361,0.5316008022941991,1.5178420058076305,0.49439958319346083,0.6843969591587917,0.5266766973911884,1.2636717636532624,0.3834364210192173,3.50061688,1.2893912943358141,0.5581526428136758,0.4276899002592258,0.6725279999106636,1.1117604979065854,0.31566965532675845,0.8765818598656356,0.6708716922670626,1.589392413731629,0.4970804667071851,50,2
1,1,Model Selection,50,0.8587743172312657,0.6854419689214762,0.8185337180048754,1.3452769882233826,0.4909068473063672,0.4259885937382885,0.3400083753918682,0.6441833987276638,0.2435106795167704,7.626792999999999,2.0159561308790925,0.8613846601067284,0.6578928043325181,0.5537021449991215,1.3694394052714451,0.48292736488106963,0.6680552784020786,0.5102351840148023,1.1152691631170777,0.37453903016293694,3.50061688,1.2893912943358141,0.5470219360701836,0.4251217797033352,0.6861179315019985,0.8797262809223707,0.30902485483985365,0.8600794886689971,0.6716673866269971,1.357358196747414,0.4869171060937184,50,2
1,1,Model Selection + Bagging,50,0.8606095862442631,0.7145159172229082,0.8177572734758549,1.2636816598785812,0.48692669384630805,0.4268989652413615,0.35443029055961217,0.5625880703828618,0.2415363540842406,7.626792999999999,2.0159561308790925,0.8480599231032023,0.6811086104351735,0.5674028906865309,1.255413685737051,0.4801962684187002,0.6577211485983017,0.5282404289739087,1.0012434435826838,0.37242090165193564,3.50061688,1.2893912943358141,0.5423100569198316,0.4413353597667604,0.6925800820811929,0.7819157569827728,0.3069786278680881,0.8543347546737328,0.6978122638290408,1.259547672807816,0.48356148113250413,50,2
2,2,Single GP,50,0.9210602118344698,0.7538944297143564,0.7912560537245361,2.415474207241702,0.5751960653633481,0.4568850471130171,0.37396370792335043,1.7143806177459822,0.2853217173493372,7.626792999999999,2.0159561308790925,0.7271201473517811,0.5544129053572886,0.6819884529392801,1.3295699839280066,0.4062368371975215,0.5639251254029385,0.42998033862395146,1.0753997417736392,0.3150609430838298,3.50061688,1.2893912943358141,0.5104050862579778,0.40197202327365095,0.7366222533319081,1.3948901797598108,0.3001913302165835,0.8240901795931255,0.6541536675358225,1.8725220955848543,0.49071645128043484,50,2
2,2,Model Selection,50,0.8837723544825469,0.7245293052977124,0.8078153620605311,1.9662221541545726,0.5361873154538619,0.4383886836352747,0.3593973570157843,1.2651285646588533,0.26597171795600927,7.626792999999999,2.0159561308790925,0.6964748243374925,0.5368961090963307,0.7082295012890948,1.206838959897181,0.38870163445429234,0.5401578461069553,0.41639501635761705,0.9526687177428128,0.3014613454905623,3.50061688,1.2893912943358141,0.489273264871115,0.3878961866867007,0.758022431674813,1.108898641200833,0.2837165317232858,0.7901235894100197,0.6307127071970215,1.5865305570258768,0.46244447495407714,50,2
2,2,Model Selection + Bagging,50,0.8497845760026764,0.7093139058686628,0.8223130495248339,1.3571467977273395,0.4953140871397767,0.4215292996639333,0.351849871633543,0.6560532082316197,0.24569685795880228,7.626792999999999,2.0159561308790925,0.741565307284025,0.6042039687325436,0.6692275418988669,1.1883591923513137,0.42602306501224546,0.5751282101419933,0.4685962836780115,0.934188950196946,0.33040634513644407,3.50061688,1.2893912943358141,0.49832875490296336,0.41022307765577726,0.7457702957118504,0.7951210792142829,0.28805160154762316,0.7956749416433507,0.6567589373006032,1.2727529950393266,0.4606685760760111,50,2
3,3,Single GP,50,1.0021208807011088,0.7862805357255866,0.7528969713722908,1.7877720252086906,0.5896924995527186,0.4970945872041952,0.390028594214853,1.0866784357129715,0.29251256538780585,7.626792999999999,2.0159561308790925,0.7931443450302791,0.6020803742619827,0.6216140543974039,1.2040566619153243,0.43769190018516974,0.6151308361662551,0.46694930926466655,0.9498864197609562,0.3394562241174677,3.50061688,1.2893912943358141,0.5561127116852251,0.42848895173975976,0.6872555128848474,1.0182824277369638,0.31598439475263673,0.897632612865694,0.6941804549937847,1.4959143435620075,0.5136921998689442,50,2
