method,metric,point_estimate,ci_lower,ci_upper,confidence,bootstrap_unit,n_bootstrap
Single GP,V_RMSE,0.9019940042162551,0.7746621023081877,1.0367994929438549,0.95,original_observation_id,2000
Single GP,V_MAE,0.7217586072246605,0.6184091176007291,0.8404356604902699,0.95,original_observation_id,2000
Single GP,V_R2,0.799331063872987,0.6793143528294825,0.8643962896650564,0.95,original_observation_id,2000
Single GP,V_NLL,1.8168578766547814,1.3837192879607707,2.3640095929080376,0.95,original_observation_id,2000
Single GP,V_CRPS,0.5360815340240936,0.4508318302316203,0.6361509454139144,0.95,original_observation_id,2000
Single GP,V_NRMSE,0.44742739705497714,0.38426535698987796,0.5142966541100972,0.95,original_observation_id,2000
Single GP,V_NMAE,0.35802297290562823,0.30675722954896895,0.4168918398654753,0.95,original_observation_id,2000
Single GP,V_normalized_NLL,1.115764287159062,0.6826256984650515,1.6629160034123183,0.95,original_observation_id,2000
Single GP,V_normalized_CRPS,0.26591924586688603,0.22363176625030384,0.3155579308843936,0.95,original_observation_id,2000
Single GP,TD_RMSE,0.7988032367917798,0.6322874397509557,0.9419539558093347,0.95,original_observation_id,2000
Single GP,TD_MAE,0.6131221699740569,0.48770230275485266,0.7376457219373402,0.95,original_observation_id,2000
Single GP,TD_R2,0.6138052468651021,0.3689373901827061,0.7750511668383264,0.95,original_observation_id,2000
Single GP,TD_NLL,1.3357272707523427,0.9667047209086711,1.761649410374125,0.95,original_observation_id,2000
Single GP,TD_CRPS,0.4473137649788927,0.35186736321846834,0.5474676771538481,0.95,original_observation_id,2000
Single GP,TD_NRMSE,0.6195196448904644,0.4903766936604429,0.7305415818667754,0.95,original_observation_id,2000
Single GP,TD_NMAE,0.475512881673275,0.3782422798240435,0.5720883374796732,0.95,original_observation_id,2000
Single GP,TD_normalized_NLL,1.0815570285979752,0.7125344787543033,1.5074791682197568,0.95,original_observation_id,2000
Single GP,TD_normalized_CRPS,0.34691855524688586,0.27289416701058217,0.4245938991203267,0.95,original_observation_id,2000
Single GP,macro_NRMSE,0.5334735209727208,0.45532971019678814,0.6023812338113353,0.95,original_observation_id,2000
Single GP,macro_NMAE,0.41676792728945167,0.35474330356227407,0.47815879900974745,0.95,original_observation_id,2000
Single GP,macro_R2,0.7065681553690445,0.5526287329413049,0.8050039995642448,0.95,original_observation_id,2000
Single GP,macro_normalized_NLL,1.0986606578785183,0.7727280764269635,1.5052478128707683,0.95,original_observation_id,2000
Single GP,macro_normalized_CRPS,0.30641890055688586,0.25960218629646614,0.35655874538119636,0.95,original_observation_id,2000
Single GP,macro_raw_RMSE,0.8503986205040175,0.7330551759423586,0.9535320812992425,0.95,original_observation_id,2000
Single GP,macro_raw_MAE,0.6674403885993587,0.5727934799227857,0.761423793029642,0.95,original_observation_id,2000
Single GP,macro_raw_NLL,1.576292573703562,1.250359992252007,1.9828797286958115,0.95,original_observation_id,2000
Single GP,macro_raw_CRPS,0.4916976495014932,0.4185639811319517,0.5679035078200831,0.95,original_observation_id,2000
Single GP,n_samples,50.0,50.0,50.0,0.95,original_observation_id,2000
Single GP,n_targets,2.0,2.0,2.0,0.95,original_observation_id,2000
Model Selection,V_RMSE,0.8444431043250711,0.7105255577073256,0.9907034372853233,0.95,original_observation_id,2000
Model Selection,V_MAE,0.6843559692048441,0.5755084889570014,0.8061493952620064,0.95,original_observation_id,2000
Model Selection,V_R2,0.8242515235539674,0.7125882591546845,0.8827741877440365,0.95,original_observation_id,2000
Model Selection,V_NLL,1.4138127734335224,1.1692335799181794,1.7287864114182008,0.95,original_observation_id,2000
Model Selection,V_CRPS,0.4891226174197258,0.41209550793974303,0.5819191131036059,0.95,original_observation_id,2000
Model Selection,V_NRMSE,0.41887970248481404,0.3524509024893755,0.4914310495701659,0.95,original_observation_id,2000
Model Selection,V_NMAE,0.3394696733338235,0.285476692742337,0.3998843937692587,0.95,original_observation_id,2000
Model Selection,V_normalized_NLL,0.7127191839378033,0.4681399904224608,1.027692821922482,0.95,original_observation_id,2000
Model Selection,V_normalized_CRPS,0.24262562559158246,0.2044169025444228,0.28865663502799044,0.95,original_observation_id,2000
Model Selection,TD_RMSE,0.7800198050834285,0.6366489783980502,0.920053765471953,0.95,original_observation_id,2000
Model Selection,TD_MAE,0.6048192136895577,0.49356544447799283,0.7278874069815682,0.95,original_observation_id,2000
Model Selection,TD_R2,0.631266182029578,0.40379561733351843,0.7685193113390248,0.95,original_observation_id,2000
Model Selection,TD_NLL,1.3463847658828136,1.02194184482191,1.7583524051632815,0.95,original_observation_id,2000
Model Selection,TD_CRPS,0.44010715236225445,0.3584065762647892,0.5345720511800601,0.95,original_observation_id,2000
Model Selection,TD_NRMSE,0.6049519711432744,0.49375932751740687,0.7135566755519992,0.95,original_observation_id,2000
Model Selection,TD_NMAE,0.46907344290788744,0.38278949659904143,0.564520181095619,0.95,original_observation_id,2000
Model Selection,TD_normalized_NLL,1.092214523728446,0.7677716026675419,1.504182163008914,0.95,original_observation_id,2000
Model Selection,TD_normalized_CRPS,0.3413293965110572,0.27796571749727084,0.41459257056286136,0.95,original_observation_id,2000
Model Selection,macro_NRMSE,0.5119158368140442,0.44080633743794423,0.5843716809508276,0.95,original_observation_id,2000
Model Selection,macro_NMAE,0.4042715581208555,0.3464292582677827,0.4680762196883721,0.95,original_observation_id,2000
Model Selection,macro_R2,0.7277588527917727,0.5786284103079258,0.810567747212052,0.95,original_observation_id,2000
Model Selection,macro_normalized_NLL,0.9024668538331249,0.669192482499441,1.20322268763882,0.95,original_observation_id,2000
Model Selection,macro_normalized_CRPS,0.29197751105131986,0.2503671632523316,0.3421820507553959,0.95,original_observation_id,2000
Model Selection,macro_raw_RMSE,0.8122314547042497,0.7008245107387239,0.9255843727225564,0.95,original_observation_id,2000
Model Selection,macro_raw_MAE,0.6445875914472008,0.554497423878291,0.7455379002767791,0.95,original_observation_id,2000
Model Selection,macro_raw_NLL,1.3800987696581681,1.1468243983244844,1.680854603463863,0.95,original_observation_id,2000
Model Selection,macro_raw_CRPS,0.46461488489099007,0.3995423461338495,0.5418713446051394,0.95,original_observation_id,2000
Model Selection,n_samples,50.0,50.0,50.0,0.95,original_observation_id,2000
Model Selection,n_targets,2.0,2.0,2.0,0.95,original_observation_id,2000
Model Selection + Bagging,V_RMSE,0.8492988917607056,0.7086483866701379,0.9912292311740389,0.95,original_observation_id,2000
Model Selection + Bagging,V_MAE,0.6992898027536188,0.5831687165314959,0.8235868239388981,0.95,original_observation_id,2000
Model Selection + Bagging,V_R2,0.8223032229316036,0.7200399076990783,0.8785179342466404,0.95,original_observation_id,2000
Model Selection + Bagging,V_NLL,1.2843395782892024,1.1595354764892145,1.435075111438439,0.95,original_observation_id,2000
Model Selection + Bagging,V_CRPS,0.48580162787029735,0.41512509319944246,0.5677054541660692,0.95,original_observation_id,2000
Model Selection + Bagging,V_NRMSE,0.42128837961883325,0.35151974579978557,0.49169186570632173,0.95,original_observation_id,2000
Model Selection + Bagging,V_NMAE,0.34687749006159263,0.28927649148654594,0.40853410018389585,0.95,original_observation_id,2000
Model Selection + Bagging,V_normalized_NLL,0.5832459887934835,0.45844188699349564,0.7339815219427197,0.95,original_observation_id,2000
Model Selection + Bagging,V_normalized_CRPS,0.24097827349965956,0.2059197057122568,0.28160605554373425,0.95,original_observation_id,2000
Model Selection + Bagging,TD_RMSE,0.7966736582624951,0.6611471809183203,0.9234869181508358,0.95,original_observation_id,2000
Model Selection + Bagging,TD_MAE,0.6449002931524355,0.5280637118312561,0.7572712279120264,0.95,original_observation_id,2000
Model Selection + Bagging,TD_R2,0.6160885088583545,0.41277409220522604,0.7341452216757628,0.95,original_observation_id,2000
Model Selection + Bagging,TD_NLL,1.2141946285270877,1.0620728026358504,1.3890060968236295,0.95,original_observation_id,2000
Model Selection + Bagging,TD_CRPS,0.45274680031118864,0.38058455235073096,0.5306917169140049,0.95,original_observation_id,2000
Model Selection + Bagging,TD_NRMSE,0.6178680294819847,0.512759147531617,0.7162192906122719,0.95,original_observation_id,2000
Model Selection + Bagging,TD_NMAE,0.5001587151902044,0.40954496447354255,0.5873090901409481,0.95,original_observation_id,2000
