method,method_label,n_runs,n_pf_points,representative_run_id,pf_dispersion_3d,negative_pressure_rate,outside_support_rate,median_distance_to_support,mean_distance_to_support,p95_distance_to_support
raw,Raw predictive mean,10,2560,2,0.31932140508515144,0.044531250000000001,0.23671875000000001,0,0.0064343126454720232,0.040510723311577949
raw_uncertainty,Raw + GP uncertainty,10,2560,2,0.32510219375804461,0.0042968750000000003,0.17226562500000001,0,0.0044563751036238632,0.033514401942483701
cfsc,CFSC,10,2560,8,0.36976994834732002,0,0.089062500000000003,0,0.0015304086586465447,0.010076674484902249
