method,run_id_a,run_id_b,hausdorff_distance_3d
raw,0,1,0.22360056129564293
raw,0,2,0.20466498887689308
raw,0,3,0.27666057795537996
raw,0,4,0.37110968748312534
raw,0,5,0.33818000214237409
raw,0,6,0.22334229707702569
raw,0,7,0.35728897552352423
raw,0,8,0.30609819093201696
raw,0,9,0.26500801485276532
raw,1,2,0.19829340990249619
raw,1,3,0.25239671731117308
raw,1,4,0.43136656667410606
raw,1,5,0.43497483356774985
raw,1,6,0.2538313022570744
raw,1,7,0.35005787869337779
raw,1,8,0.20179817223662702
raw,1,9,0.37431208849650494
raw,2,3,0.2373926463376751
raw,2,4,0.38797753221761982
raw,2,5,0.41288516697401551
raw,2,6,0.14715070709234032
raw,2,7,0.3023685741542273
raw,2,8,0.23245089643422506
raw,2,9,0.37622904455917494
raw,3,4,0.38095075295421293
raw,3,5,0.33516612351363284
raw,3,6,0.23679688948941097
raw,3,7,0.36608626266542987
raw,3,8,0.33546189672654142
raw,3,9,0.26110955885185766
raw,4,5,0.27063339772619643
raw,4,6,0.37924820976525103
raw,4,7,0.43182775614014363
raw,4,8,0.40265322691310579
raw,4,9,0.22375499755831546
raw,5,6,0.3973619746299249
raw,5,7,0.46615898859923766
raw,5,8,0.42225666005354778
raw,5,9,0.2071105843596539
raw,6,7,0.33881717446608306
raw,6,8,0.2128221047289576
raw,6,9,0.37840935767154243
raw,7,8,0.34283458640494613
raw,7,9,0.4445798745982496
raw,8,9,0.37598401796844039
raw_uncertainty,0,1,0.28222735563400342
raw_uncertainty,0,2,0.29184532177704003
raw_uncertainty,0,3,0.29235047676426018
raw_uncertainty,0,4,0.49829477280182716
raw_uncertainty,0,5,0.33777823564812415
raw_uncertainty,0,6,0.22956682904559847
raw_uncertainty,0,7,0.33248399901895481
raw_uncertainty,0,8,0.28764184518321495
raw_uncertainty,0,9,0.31574199741203246
raw_uncertainty,1,2,0.25474794684796365
raw_uncertainty,1,3,0.22970536803883926
raw_uncertainty,1,4,0.61107271485773862
raw_uncertainty,1,5,0.345682629307143
raw_uncertainty,1,6,0.30779796033381102
raw_uncertainty,1,7,0.23677652165669358
raw_uncertainty,1,8,0.24398780179188567
raw_uncertainty,1,9,0.22697157816334582
raw_uncertainty,2,3,0.21324069113674579
raw_uncertainty,2,4,0.54193886343439679
raw_uncertainty,2,5,0.28756115012631667
raw_uncertainty,2,6,0.25776114927536004
raw_uncertainty,2,7,0.23691100159289077
raw_uncertainty,2,8,0.22733959213736182
raw_uncertainty,2,9,0.26278427304806878
raw_uncertainty,3,4,0.50688738860460913
raw_uncertainty,3,5,0.31990091081286992
raw_uncertainty,3,6,0.28891626227588663
raw_uncertainty,3,7,0.26991358238953911
raw_uncertainty,3,8,0.28252416717023204
raw_uncertainty,3,9,0.22963305562972122
raw_uncertainty,4,5,0.56545673597774126
raw_uncertainty,4,6,0.5520501526639251
raw_uncertainty,4,7,0.42373052007533463
raw_uncertainty,4,8,0.57297889485145215
raw_uncertainty,4,9,0.48273824533192178
raw_uncertainty,5,6,0.30999044850417873
raw_uncertainty,5,7,0.29537119474714629
raw_uncertainty,5,8,0.31401893951101395
raw_uncertainty,5,9,0.30853186969815766
raw_uncertainty,6,7,0.28659355762104149
raw_uncertainty,6,8,0.22654564849536121
raw_uncertainty,6,9,0.27786279090303023
raw_uncertainty,7,8,0.23456963501488864
raw_uncertainty,7,9,0.2725323129741285
raw_uncertainty,8,9,0.25664233082620774
cfsc,0,1,0.32767864548629766
cfsc,0,2,0.35553788911996148
cfsc,0,3,0.37928541564628704
cfsc,0,4,0.47096944117839395
cfsc,0,5,0.40649859209707934
cfsc,0,6,0.31436175120961041
cfsc,0,7,0.42497418610242332
cfsc,0,8,0.35333974760713405
cfsc,0,9,0.39036922313117062
cfsc,1,2,0.23493247430875552
cfsc,1,3,0.24483171987416549
cfsc,1,4,0.56590343158350709
cfsc,1,5,0.28095546779031622
cfsc,1,6,0.56410508220896549
cfsc,1,7,0.31792751609438108
cfsc,1,8,0.31252913258508208
cfsc,1,9,0.28976355746668003
cfsc,2,3,0.28346810023390839
cfsc,2,4,0.52727904481065935
cfsc,2,5,0.32308085808834847
cfsc,2,6,0.41144692508878694
cfsc,2,7,0.3261681390695983
cfsc,2,8,0.25327097133990162
cfsc,2,9,0.34261434958268744
cfsc,3,4,0.53246393988203644
cfsc,3,5,0.27597362386937391
cfsc,3,6,0.53728373835095133
cfsc,3,7,0.32226866576966451
cfsc,3,8,0.29311059219906782
cfsc,3,9,0.31007434140508999
cfsc,4,5,0.46853239812834746
cfsc,4,6,0.30634509552238132
cfsc,4,7,0.4297204127272517
cfsc,4,8,0.54247463284826281
cfsc,4,9,0.48865561875058355
cfsc,5,6,0.42634257953694094
cfsc,5,7,0.30103227826247114
cfsc,5,8,0.23281471768439702
cfsc,5,9,0.35604173015434681
cfsc,6,7,0.38444230405074831
cfsc,6,8,0.50831170085473087
cfsc,6,9,0.36437484618634403
cfsc,7,8,0.22162040876566799
cfsc,7,9,0.33598823252740484
cfsc,8,9,0.30048415644923504
