method,run_id,n_pf_points,is_representative,mean_hausdorff_to_other_runs,negative_pressure_rate,outside_support_rate,mean_distance_to_support
raw,0,256,False,0.28510592179319416,0.05859375,0.28515625,0.0087652179005764351
raw,1,256,False,0.30229239227052801,0.0859375,0.1953125,0.0050549933302572892
raw,2,256,True,0.27771255183874083,0.0546875,0.1875,0.0037527758279852332
raw,3,256,False,0.29800238064503487,0.00390625,0.1328125,0.0023046856894074958
raw,4,256,False,0.36439134749245294,0.03515625,0.375,0.015049325829123196
raw,5,256,False,0.3649697479518148,0.015625,0.22265625,0.0062333048049538087
raw,6,256,False,0.28530889079751226,0.0703125,0.296875,0.0067613955188897592
raw,7,256,False,0.37778000791613547,0.0234375,0.2578125,0.005402037168155821
raw,8,256,False,0.31470663915537866,0.01953125,0.12890625,0.0022296865455328778
raw,9,256,False,0.32294417099072276,0.078125,0.28515625,0.0087897038398383094
raw_uncertainty,0,256,False,0.31865898147611726,0,0.22265625,0.0050485812007928033
raw_uncertainty,1,256,False,0.30432998629238045,0.015625,0.15234375,0.0028788032303661351
raw_uncertainty,2,256,True,0.28601444326401609,0.015625,0.07421875,0.00058716834197570546
raw_uncertainty,3,256,False,0.29256354475807811,0,0.125,0.0011730435592351568
raw_uncertainty,4,256,False,0.52834980984432733,0,0.3359375,0.018885572688989171
raw_uncertainty,5,256,False,0.34269912381474354,0,0.10546875,0.0022818836339760884
raw_uncertainty,6,256,False,0.30412053323535482,0.00390625,0.20703125,0.0045059342181151861
raw_uncertainty,7,256,False,0.28765359167673532,0,0.1328125,0.0022262727807072177
raw_uncertainty,8,256,False,0.2940276505535131,0.00390625,0.125,0.0022807982843306312
raw_uncertainty,9,256,False,0.2926042726651793,0.00390625,0.2421875,0.0046956930977505376
cfsc,0,256,False,0.3803349879531509,0,0.15234375,0.00093352391884900959
cfsc,1,256,False,0.34873633637757234,0,0.0703125,0.00070373543067721593
cfsc,2,256,False,0.33975541684917859,0,0.0234375,0.00020276380754828205
cfsc,3,256,False,0.35319557080339392,0,0.1015625,0.0010619135137320084
cfsc,4,256,False,0.48137155727015823,0,0.17578125,0.0070554574203235349
cfsc,5,256,False,0.34125247173462459,0,0.00390625,2.6583348678498129e-05
cfsc,6,256,False,0.42411266922327329,0,0.1953125,0.0037149577404380573
cfsc,7,256,False,0.34046023815217902,0,0.0234375,0.00010425493630944143
cfsc,8,256,True,0.3353284511481644,0,0.11328125,0.0012646013404650613
cfsc,9,256,False,0.35315178396150465,0,0.03125,0.00023629512944433866
