repeat,partition_seed,calibration_method,observation_id,outer_fold,T_true,T_mean,T_std,T_lower,T_upper,P_true,P_mean,P_std,P_lower,P_upper,TD_true,TD_mean,TD_std,TD_lower,TD_upper
0,0,uncalibrated,0,2,312.33,312.07521508371275,1.5219804276739215,309.57178005710415,314.57865011032135,84.06,72.74441813802548,173.98672789574866,-213.43828228271548,358.92711855876644,0.31,2.7159772683574124,1.403020945257052,0.4082131778624687,5.023741358852356
0,0,uncalibrated,1,2,311.68,309.8428760994924,2.5758389935082704,305.6059979885773,314.0797542104075,204.84,207.20690533303025,269.8427410240169,-236.6449059468506,651.0587166129111,9.2,7.148015456550048,1.6034322171308628,4.5106041586315095,9.785426754468588
0,0,uncalibrated,2,0,301.44,305.34132875278203,1.4632806115801302,302.9344463315767,307.7482111739874,220.66,527.5868350513163,290.5764900315167,49.63104151614789,1005.5426285864846,4.44,8.305571229238938,1.7885515370402465,5.363665746548659,11.247476711929217
0,0,uncalibrated,3,1,314.31,312.3498562394855,2.0514549665990547,308.9755130971474,315.7241993818236,12.81,174.25013929970135,373.7422939654497,-440.5012284745317,789.0015070739344,2.87,1.4032430402961058,2.6842776158162236,-3.012000731823858,5.81848681241607
0,0,uncalibrated,4,2,306.89,304.6780861683048,2.844472083250285,299.9993459454083,309.35682639120125,422.12,488.9095617061323,330.1153522764238,-54.08187279810602,1031.9009962103705,12.1,10.126261471340978,1.9383339575443213,6.937985831031002,13.314537111650955
0,0,uncalibrated,5,2,307.84,307.5676346040244,1.1741062894693233,305.63640161536426,309.4988675926846,2201.12,1860.364601178738,292.1751350912161,1379.779270518915,2340.949931838561,5.77,6.476251514042899,1.3498014302173003,4.256025735885689,8.69647729220011
0,0,uncalibrated,6,1,314.22,311.93501583327406,2.058820860616893,308.548556873445,315.3214747931031,87.66,193.51051298470878,418.53401951803346,-494.9166870221065,881.937712991524,3.45,1.5616810699635053,2.830800565884188,-3.0945715080073795,6.21793364793439
0,0,uncalibrated,7,0,301.14,304.1764707187596,1.902766020798769,301.04669912820873,307.3062423093105,965.47,1318.9672967041988,342.6721950629536,755.3216937994774,1882.61289960892,6.46,8.750062235086919,2.5779004477185503,4.509793333737239,12.990331136436598
0,0,uncalibrated,8,0,306.32,306.5234818130117,1.0730128303376396,304.75853276726536,308.28843085875803,331.97,569.5207251996862,207.53690016592353,228.15290223550147,910.8885481638711,10.22,7.395248578703246,1.6609341829537072,4.663254963744162,10.12724219366233
0,0,uncalibrated,9,4,304.34,305.18826252101087,2.052520807560079,301.81216622630234,308.5643588157194,421.99,401.14887220471314,431.9437320227371,-309.3353420518405,1111.6330864612669,3.37,8.370185414400128,2.570137657769731,4.142685166253026,12.59768566254723
0,0,uncalibrated,10,3,303.31,303.2718195951252,1.5220878659515773,300.7682078482759,305.77543134197447,1035.72,305.35806779507055,307.6384148966035,-200.66209473720926,811.3782303273504,5.86,7.198571393938308,1.9407393717329222,4.006339199375891,10.390803588500725
0,0,uncalibrated,11,2,308.31,308.22986717503204,1.7058143650343587,305.4240522297994,311.0356821202647,374.66,405.01816250294337,232.33913210202147,22.854298382176296,787.1820266237105,8.57,8.305964975916016,1.3143701602103826,6.144018450737182,10.46791150109485
0,0,uncalibrated,12,4,307.47,306.80386064093994,0.9951891238873616,305.1669202010112,308.4408010808687,850.87,1046.0027081733604,229.5225232742272,668.4717532986942,1423.5336630480265,10.63,10.859741653882137,1.3118014694012508,8.70202024909722,13.017463058667055
0,0,uncalibrated,13,0,306.43,307.3147138876204,0.989873386782855,305.6865170571479,308.94291071809295,2256.33,1143.2458547306414,150.22438350228785,896.1487326703544,1390.3429767909283,4.77,7.273850595361902,1.510158458455498,4.7898609776999335,9.757840213023872
0,0,uncalibrated,14,3,313.31,313.55552635198325,1.4896695581650066,311.1052379762763,316.00581472769017,0.85,167.56940023063862,445.24586782631854,-564.794880348637,899.9336808099142,0.42,1.4467865263958917,1.960509460469386,-1.7779645703298503,4.671537623121633
0,0,uncalibrated,15,2,311.83,314.0890085639283,1.4346158183174464,311.7292755318869,316.4487415959697,194.23,145.52642820121378,194.8736277782873,-175.01216524709315,466.0650216495207,3.51,3.6072165581838287,1.395185942856731,1.312339899804226,5.902093216563431
0,0,uncalibrated,16,0,307.32,306.8932429018573,0.6260024843873487,305.86356044493215,307.9229253587825,1604.24,1664.0721150115796,135.16169393620598,1441.7509125157064,1886.3933175074528,11.92,11.270391504505843,1.079971677620368,9.493996173567115,13.046786835444571
0,0,uncalibrated,17,2,311.08,310.92194597424105,1.3188023474509445,308.7527091498043,313.09118279867783,560.59,412.60261372391085,219.98712235742644,50.75599763168083,774.4492298161408,3.19,3.2030463682120405,1.5404246802455288,0.6692732458646216,5.736819490559459
0,0,uncalibrated,18,1,311.14,309.4490650219074,1.6410523152645289,306.7497741691274,312.1483558746874,68.07,122.94812562074185,251.69934831787833,-291.06046036124206,536.9567116027258,5.46,4.911248633590995,2.488494651461193,0.8180391804857132,9.004458086696278
0,0,uncalibrated,19,3,312.39,311.9143077757897,1.2730483343730483,309.82032960571166,314.0082859458678,59.84,132.2197100333101,348.4758502372295,-440.9720561343946,705.4114762010148,5.02,4.854796840417863,1.8004151265866686,1.893377489433488,7.816216191402237
0,0,uncalibrated,20,3,308.85,309.8471826815644,1.0708248252841395,308.0858325838661,311.6085327792627,484.91,312.9632032014965,261.3670985047129,-116.94741673976301,742.873823142756,7.06,7.302432113842234,1.5092610367210297,4.81991862357511,9.784945604109357
0,0,uncalibrated,21,4,311.28,310.1425980732595,1.1626544217410615,308.23020173076753,312.0549944157514,410.23,690.7344119922338,221.42094972653518,326.529359751503,1054.9394642329646,5.16,5.629330987944251,1.7121214634530006,2.8131417890021218,8.44552018688638
0,0,uncalibrated,22,0,312.03,313.6116730620732,1.3403740856636606,311.4069538857975,315.81639223834884,122.49,194.58644742336998,206.51574825119317,-145.10173011020214,534.274624956942,3.07,5.1923769994311915,1.5869465347967424,2.5820822358927003,7.802671762969682
0,0,uncalibrated,23,2,307.93,307.7990986937307,1.9684795528870564,304.5612379615846,311.0369594258768,117.49,217.19181549705348,284.1981645328906,-250.27256620782265,684.6561972019297,6.42,7.5728786340407455,1.6380265943455252,4.878564649288542,10.267192618792949
0,0,uncalibrated,24,0,306.65,306.64437250043807,0.945998193392202,305.08834394094737,308.20040105992877,1388.31,1332.7275774841564,151.60471828903727,1083.3600067434775,1582.0951482248354,11.47,11.75602833078703,1.284451628899627,9.643293410347754,13.868763251226307
0,0,uncalibrated,25,4,308.18,308.37686905616334,0.7473040233703986,307.1476633228871,309.60607478943956,1252.74,1146.3371188262001,212.72528019585204,796.4351701517849,1496.2390675006154,7.11,7.3255250751453085,0.880873720131353,5.876616741701017,8.7744334085896
0,0,uncalibrated,26,0,310.29,309.8651550068507,1.2208457041447365,307.8570425224401,311.87326749126134,785.56,772.1655982834374,242.91486909258765,372.60619481605266,1171.725001750822,5.06,4.686035038393397,1.7192842133460584,1.8580641643107256,7.514005912476069
0,0,uncalibrated,27,1,303.33,304.98270489645296,1.6340410290722824,302.2949465831959,307.67046320971,1918.36,1994.2436119777358,492.32266309369896,1184.4448939576578,2804.042329997814,8.91,7.827915146821307,3.397735888843564,2.2391369466337885,13.416693347008826
0,0,uncalibrated,28,2,302.73,303.44395259952415,3.465949961122948,297.7429722351388,309.1449329639095,2026.87,1583.5281527744887,580.8313577525794,628.1455873280108,2538.9107182209664,13.02,5.89127211678848,2.209340005299306,2.2572311959029334,9.525313037674026
0,0,uncalibrated,29,3,310.24,310.23690826404925,1.4436210280376545,307.8623629801381,312.6114535479604,305.92,341.3258390272869,360.09147111679937,-250.97192327347153,933.6236013280454,5.99,6.504924103156999,2.07858473805474,3.0859564578416854,9.923891748472313
