calibration_method,T_coverage_mean,T_coverage_std,T_coverage_median,T_coverage_min,T_coverage_max,T_coverage_error_mean,T_coverage_error_std,T_coverage_error_median,T_coverage_error_min,T_coverage_error_max,T_MPIW_mean,T_MPIW_std,T_MPIW_median,T_MPIW_min,T_MPIW_max,T_normalized_MPIW_mean,T_normalized_MPIW_std,T_normalized_MPIW_median,T_normalized_MPIW_min,T_normalized_MPIW_max,T_interval_score_mean,T_interval_score_std,T_interval_score_median,T_interval_score_min,T_interval_score_max,T_normalized_interval_score_mean,T_normalized_interval_score_std,T_normalized_interval_score_median,T_normalized_interval_score_min,T_normalized_interval_score_max,P_coverage_mean,P_coverage_std,P_coverage_median,P_coverage_min,P_coverage_max,P_coverage_error_mean,P_coverage_error_std,P_coverage_error_median,P_coverage_error_min,P_coverage_error_max,P_MPIW_mean,P_MPIW_std,P_MPIW_median,P_MPIW_min,P_MPIW_max,P_normalized_MPIW_mean,P_normalized_MPIW_std,P_normalized_MPIW_median,P_normalized_MPIW_min,P_normalized_MPIW_max,P_interval_score_mean,P_interval_score_std,P_interval_score_median,P_interval_score_min,P_interval_score_max,P_normalized_interval_score_mean,P_normalized_interval_score_std,P_normalized_interval_score_median,P_normalized_interval_score_min,P_normalized_interval_score_max,TD_coverage_mean,TD_coverage_std,TD_coverage_median,TD_coverage_min,TD_coverage_max,TD_coverage_error_mean,TD_coverage_error_std,TD_coverage_error_median,TD_coverage_error_min,TD_coverage_error_max,TD_MPIW_mean,TD_MPIW_std,TD_MPIW_median,TD_MPIW_min,TD_MPIW_max,TD_normalized_MPIW_mean,TD_normalized_MPIW_std,TD_normalized_MPIW_median,TD_normalized_MPIW_min,TD_normalized_MPIW_max,TD_interval_score_mean,TD_interval_score_std,TD_interval_score_median,TD_interval_score_min,TD_interval_score_max,TD_normalized_interval_score_mean,TD_normalized_interval_score_std,TD_normalized_interval_score_median,TD_normalized_interval_score_min,TD_normalized_interval_score_max,macro_coverage_mean,macro_coverage_std,macro_coverage_median,macro_coverage_min,macro_coverage_max,macro_coverage_error_mean,macro_coverage_error_std,macro_coverage_error_median,macro_coverage_error_min,macro_coverage_error_max,macro_MPIW_mean,macro_MPIW_std,macro_MPIW_median,macro_MPIW_min,macro_MPIW_max,macro_normalized_MPIW_mean,macro_normalized_MPIW_std,macro_normalized_MPIW_median,macro_normalized_MPIW_min,macro_normalized_MPIW_max,macro_interval_score_mean,macro_interval_score_std,macro_interval_score_median,macro_interval_score_min,macro_interval_score_max,macro_normalized_interval_score_mean,macro_normalized_interval_score_std,macro_normalized_interval_score_median,macro_normalized_interval_score_min,macro_normalized_interval_score_max,simultaneous_joint_coverage_mean,simultaneous_joint_coverage_std,simultaneous_joint_coverage_median,simultaneous_joint_coverage_min,simultaneous_joint_coverage_max,T_ECE_mean,T_ECE_std,T_ECE_median,T_ECE_min,T_ECE_max,P_ECE_mean,P_ECE_std,P_ECE_median,P_ECE_min,P_ECE_max,TD_ECE_mean,TD_ECE_std,TD_ECE_median,TD_ECE_min,TD_ECE_max,macro_ECE_mean,macro_ECE_std,macro_ECE_median,macro_ECE_min,macro_ECE_max
cross_fitted,0.9179999999999999,0.01316561177208767,0.92,0.89,0.94,0.020000000000000007,0.009428090415820618,0.020000000000000018,0.010000000000000009,0.039999999999999925,4.2218240723009455,0.2037842865011963,4.168256357228408,3.9681812510659915,4.608960671271225,1.3196152815285624,0.06369684145929144,1.3028716242383234,1.2403341610414074,1.4406225436245748,6.396194966982781,0.3167123375750242,6.2791581993471475,5.996571151279247,6.866457901427342,1.9992582536643624,0.09899475519472617,1.9626760786547544,1.8743478630289412,2.1462483091479605,0.913,0.014944341180973262,0.91,0.89,0.94,0.015000000000000003,0.012692955176439834,0.010000000000000009,0.0,0.039999999999999925,749.9525220944355,42.22148034086496,742.0369967066681,698.3472446740915,822.8087970134152,1.180646253778121,0.0664690512063267,1.1681848843974918,1.0994043409016179,1.2953434986211634,1202.3175912255003,93.40168959673609,1187.6893894407822,1094.1556537926601,1406.1873492112281,1.892802168286026,0.14704178153966843,1.8697730682725946,1.7225234073388287,2.213753240431621,0.915,0.017795130420052183,0.92,0.88,0.95,0.019000000000000006,0.01286683937707917,0.020000000000000018,0.0,0.04999999999999993,6.3127217673541915,0.2526174647341767,6.3320114664747,5.86024459865863,6.65683205315226,1.896048654260468,0.07587456278033873,1.9018423846681145,1.7601455116215081,1.999403414433602,7.974864068938203,0.7186482391095196,7.879727338853563,6.8866986462340005,9.268369578064107,2.3952790639397827,0.2158485795614833,2.3667044053859136,2.0684446712059157,2.7837880890864097,0.9153333333333332,0.01229272594305716,0.9166666666666666,0.8966666666666666,0.9366666666666665,0.018000000000000006,0.009322745317067999,0.01666666666666668,0.006666666666666672,0.036666666666666625,253.49568931136355,14.113018734322203,250.74463055703623,236.2659741612372,277.91328211604775,1.4654367298557172,0.0490977708949855,1.4676119738077298,1.3893779487862108,1.5440681466540038,405.5628834204737,31.16994904784201,400.7506932849159,369.776874326573,473.38861831293326,2.0957798286300573,0.10922878317235611,2.096978555773836,1.931863653890339,2.2316167619497973,0.781,0.029230881691191663,0.78,0.73,0.83,0.028499999999999998,0.010406847223621696,0.026666666666666672,0.014999999999999994,0.04666666666666669,0.02916666666666668,0.010221316384985617,0.025000000000000022,0.016666666666666673,0.04666666666666669,0.0305,0.01455195035929065,0.02666666666666668,0.014999999999999977,0.05833333333333333,0.02938888888888889,0.0076194196337749705,0.02888888888888889,0.020000000000000004,0.04388888888888889
holdout,0.9390000000000001,0.03034981237357342,0.94,0.89,0.98,0.04099999999999997,0.027264140062238023,0.039999999999999925,0.0,0.07999999999999996,6.005634233315308,0.9485528153549699,6.016670050727678,4.844270030136703,7.381659382828008,1.8771807100040199,0.2964890931130519,1.8806301747500922,1.514173174945964,2.307284803392956,7.277120183399882,0.8848059461918496,7.453630216493702,5.805627753962096,8.78023945072778,2.274608992482405,0.27656373827669845,2.329780722290362,1.8146646974844882,2.7444388861863502,0.9380000000000001,0.035839146815241606,0.93,0.88,0.99,0.041999999999999996,0.03047767853509987,0.030000000000000027,0.0,0.08999999999999997,1329.1768760822702,446.26031059688535,1295.0143431239344,750.6284617505536,1984.6045934978572,2.0925160635134583,0.7025452257226068,2.0387341701688135,1.1817103819719261,3.124352421671097,1662.9489335676044,370.62228997273365,1607.491284511693,1237.5021351510836,2345.2503081408645,2.617971632601143,0.583468693459339,2.5306649516150648,1.9481930080429473,3.6921150458239667,0.931,0.024244128727957566,0.94,0.87,0.95,0.036999999999999963,0.011595018087284017,0.039999999999999925,0.020000000000000018,0.04999999999999993,7.243138893247289,0.7603835629255027,7.184987176034646,5.498799257191003,8.320627698162875,2.1755027795117194,0.22838393395737142,2.158036702401501,1.6515841052211047,2.4991304117488964,8.759356020893037,0.664525391909925,8.520557611083682,8.03937606353409,9.981100925422934,2.630904039124702,0.1995925880289208,2.5591800791206265,2.414655473204286,2.997859508960717,0.9359999999999999,0.02443434134649503,0.9433333333333334,0.8966666666666666,0.9700000000000001,0.03999999999999997,0.01825741858350551,0.04333333333333332,0.013333333333333345,0.06999999999999995,447.4752164029443,148.78070655083312,436.1021192265506,254.2314174924385,665.5566474800273,2.0483998510097328,0.2675885934339604,2.065084726618794,1.621926816207468,2.4675773729490196,559.6618032572991,123.3920056941068,541.7081212044584,417.2845259769501,786.5266757621918,2.5078282214027494,0.20242350789747832,2.521346256401719,2.1108113801114294,2.7750776012310125,0.837,0.05831904586934798,0.855,0.75,0.92,0.067,0.036597578007969096,0.08000000000000002,0.02166666666666665,0.12000000000000001,0.05783333333333333,0.03392120499257283,0.04583333333333333,0.028333333333333304,0.13999999999999999,0.06216666666666666,0.01457314458893058,0.06416666666666665,0.03833333333333333,0.08166666666666667,0.06233333333333333,0.022446094548803527,0.06333333333333332,0.034999999999999996,0.09833333333333333
uncalibrated,0.9269999999999999,0.016363916944844736,0.93,0.9,0.95,0.02699999999999998,0.016363916944844736,0.030000000000000027,0.0,0.04999999999999993,4.615066228220854,0.2752166570421642,4.561483821987188,4.335409254504288,5.219011179152171,1.442530957171656,0.0860244529720794,1.425782707866118,1.3551185946993183,1.6313059920386639,6.334567333477068,0.33698929466201827,6.319740114748491,5.812614509944622,6.847550314595311,1.9799953081825392,0.10533272238062868,1.975360765368411,1.8168485473571871,2.1403383659354813,0.944,0.012649110640673492,0.94,0.93,0.97,0.04399999999999995,0.012649110640673502,0.039999999999999925,0.030000000000000027,0.06999999999999995,950.7866194383262,38.38449639456264,941.2126888023845,892.561425204984,1024.1132421400487,1.4968183015735907,0.06042850785385262,1.48174611366003,1.4051546889823359,1.612256012421224,1246.876842473787,54.39378275638317,1252.1419714410224,1179.806877424237,1318.030545140967,1.9629515597575349,0.08563184194753323,1.9712404241958659,1.857363671666121,2.0749684541895124,0.9120000000000001,0.013984117975602003,0.91,0.89,0.94,0.014000000000000002,0.011737877907772656,0.010000000000000009,0.0,0.039999999999999925,6.150650190654668,0.16871326498491362,6.2122119386253125,5.832006380905653,6.330354418821861,1.8473698741367879,0.05067363505307897,1.8658601662319179,1.7516640615049939,1.9013446844544826,8.004463196012791,0.8681614687382581,7.749648506983533,6.839091545913675,9.683663092449294,2.404169268058597,0.26075541504055133,2.3276347610701444,2.054145707649118,2.908522987612305,0.9276666666666668,0.007378647873726235,0.93,0.9166666666666666,0.94,0.02833333333333331,0.007895928001973251,0.02999999999999997,0.01666666666666668,0.039999999999999925,320.5174452857339,12.899276345515597,317.2606954889263,300.9096136134646,345.2066186594466,1.5955730442940115,0.05501386297230689,1.58540855877022,1.503979115062216,1.7106886814517954,420.40529100109234,18.163625544064956,422.7174230995486,397.9331064698392,444.38621974583594,2.115705378666224,0.11810222247436179,2.0913987788452264,1.951762518901598,2.2949007984207497,0.8109999999999999,0.021317702607092617,0.815,0.77,0.85,0.09716666666666667,0.018258263814800803,0.10166666666666667,0.06833333333333332,0.12166666666666666,0.14633333333333334,0.010709405120019094,0.14583333333333331,0.13166666666666668,0.165,0.06283333333333332,0.0157732779185652,0.06166666666666666,0.045000000000000005,0.09833333333333333,0.10211111111111111,0.009780863710560235,0.10416666666666666,0.085,0.11722222222222221
