repeat,partition_seed,outer_fold,n_outer_train,n_outer_test,selected_family,selected_kernel,inner_cv_score,best_icm_kernel,best_icm_score,best_ind_kernels,best_ind_score
5,5,2,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 2.5], [""Matern"", 0.5]]",63.4338117116839,"[""Matern"", 1.5]",70.56157082334227,"[[""Matern"", 0.5], [""Matern"", 2.5], [""Matern"", 0.5]]",63.4338117116839
5,5,3,80,20,ICM,"[""Matern"", 2.5]",68.97462419105352,"[""Matern"", 2.5]",68.97462419105352,"[[""RBF"", null], [""Matern"", 0.5], [""Matern"", 0.5]]",70.88404881154042
5,5,4,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",64.68692396711722,"[""Matern"", 1.5]",66.64321263041363,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",64.68692396711722
6,6,0,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",68.86251850413365,"[""Matern"", 2.5]",86.59721169698484,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",68.86251850413365
6,6,1,80,20,ICM,"[""Matern"", 2.5]",56.675464181512346,"[""Matern"", 2.5]",56.675464181512346,"[[""Matern"", 0.5], [""RBF"", null], [""Matern"", 0.5]]",60.975641638144786
6,6,2,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",72.64384925347608,"[""RBF"", null]",78.4314651547187,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",72.64384925347608
6,6,3,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",71.38899897781174,"[""RBF"", null]",72.64320815637186,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",71.38899897781174
6,6,4,80,20,IND,"[[""Matern"", 2.5], [""Matern"", 1.5], [""Matern"", 0.5]]",71.36771036592357,"[""Matern"", 2.5]",73.77420295108644,"[[""Matern"", 2.5], [""Matern"", 1.5], [""Matern"", 0.5]]",71.36771036592357
7,7,0,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 1.5], [""Matern"", 0.5]]",58.55220845118041,"[""Matern"", 2.5]",58.756639347557325,"[[""Matern"", 0.5], [""Matern"", 1.5], [""Matern"", 0.5]]",58.55220845118041
7,7,1,80,20,ICM,"[""Matern"", 2.5]",62.10169903014455,"[""Matern"", 2.5]",62.10169903014455,"[[""Matern"", 2.5], [""Matern"", 0.5], [""Matern"", 0.5]]",62.37939789841419
7,7,2,80,20,ICM,"[""Matern"", 1.5]",63.30687112828481,"[""Matern"", 1.5]",63.30687112828481,"[[""RBF"", null], [""Matern"", 0.5], [""Matern"", 0.5]]",64.11649848923163
7,7,3,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",77.00574489978155,"[""Matern"", 0.5]",77.61307472569987,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",77.00574489978155
7,7,4,80,20,ICM,"[""Matern"", 1.5]",71.31062777284822,"[""Matern"", 1.5]",71.31062777284822,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",75.11446198939588
8,8,0,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",70.09813380530967,"[""Matern"", 1.5]",89.43522876940207,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",70.09813380530967
8,8,1,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",72.79081837667185,"[""Matern"", 1.5]",73.94703808615236,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",72.79081837667185
8,8,2,80,20,ICM,"[""Matern"", 0.5]",72.83307356032724,"[""Matern"", 0.5]",72.83307356032724,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",76.73122031636879
8,8,3,80,20,ICM,"[""Matern"", 1.5]",65.8787312295145,"[""Matern"", 1.5]",65.8787312295145,"[[""RBF"", null], [""Matern"", 0.5], [""Matern"", 0.5]]",74.8200345665026
8,8,4,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",56.4391297050029,"[""Matern"", 1.5]",60.66152719591489,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",56.4391297050029
9,9,0,80,20,ICM,"[""RBF"", null]",63.32503176809348,"[""RBF"", null]",63.32503176809348,"[[""RBF"", null], [""Matern"", 0.5], [""Matern"", 1.5]]",64.40595127562172
9,9,1,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 2.5], [""Matern"", 0.5]]",77.38937077991748,"[""Matern"", 0.5]",77.45320929891074,"[[""Matern"", 0.5], [""Matern"", 2.5], [""Matern"", 0.5]]",77.38937077991748
9,9,2,80,20,ICM,"[""RBF"", null]",71.37036262359165,"[""RBF"", null]",71.37036262359165,"[[""Matern"", 0.5], [""Matern"", 1.5], [""RBF"", null]]",75.70371051472398
9,9,3,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 1.5], [""Matern"", 0.5]]",60.38136793002551,"[""Matern"", 1.5]",64.74185824892749,"[[""Matern"", 0.5], [""Matern"", 1.5], [""Matern"", 0.5]]",60.38136793002551
9,9,4,80,20,IND,"[[""Matern"", 2.5], [""Matern"", 0.5], [""Matern"", 0.5]]",67.71176166719532,"[""Matern"", 0.5]",73.84483443809717,"[[""Matern"", 2.5], [""Matern"", 0.5], [""Matern"", 0.5]]",67.71176166719532
