repeat,partition_seed,outer_fold,family,target,kernel,mean_inner_cv_score,std_inner_cv_score
0,0,0,ICM,__joint__,"[""RBF"", null]",59.48009601838296,15.786718927262577
0,0,0,ICM,__joint__,"[""Matern"", 0.5]",63.75795680309058,18.833718041155077
0,0,0,ICM,__joint__,"[""Matern"", 1.5]",63.758581755001046,18.83493054294374
0,0,0,ICM,__joint__,"[""Matern"", 2.5]",59.4796819450152,15.787027161519
0,0,0,IND,T,"[""RBF"", null]",1.206794701693589,0.5366273862651669
0,0,0,IND,T,"[""Matern"", 0.5]",1.1377428186876952,0.5174974926032385
0,0,0,IND,T,"[""Matern"", 1.5]",1.197516266217144,0.5461834145113394
0,0,0,IND,T,"[""Matern"", 2.5]",1.1846769459424997,0.5282665418744186
0,0,0,IND,P,"[""RBF"", null]",220.31870936716604,48.047600873919194
0,0,0,IND,P,"[""Matern"", 0.5]",167.80802570321768,68.98000626418678
0,0,0,IND,P,"[""Matern"", 1.5]",178.23142273367836,58.60022905463225
0,0,0,IND,P,"[""Matern"", 2.5]",199.29473806067904,45.73350705718004
0,0,0,IND,TD,"[""RBF"", null]",1.8341948528970744,0.9594220433830437
0,0,0,IND,TD,"[""Matern"", 0.5]",1.797892291902968,0.7568444425817004
0,0,0,IND,TD,"[""Matern"", 1.5]",1.7974111936323047,0.8539411794975719
0,0,0,IND,TD,"[""Matern"", 2.5]",1.7715616916554027,0.901182975926484
0,0,1,ICM,__joint__,"[""RBF"", null]",79.03265282677908,6.892534930760644
0,0,1,ICM,__joint__,"[""Matern"", 0.5]",80.23029865570888,7.7764219992536505
0,0,1,ICM,__joint__,"[""Matern"", 1.5]",76.70371544407732,10.913066538719374
0,0,1,ICM,__joint__,"[""Matern"", 2.5]",79.03280361545191,6.891269992492607
0,0,1,IND,T,"[""RBF"", null]",1.039514792627628,0.32275006675808804
0,0,1,IND,T,"[""Matern"", 0.5]",1.119531388708087,0.23784565665371366
0,0,1,IND,T,"[""Matern"", 1.5]",1.1916420818160625,0.41124228613019526
0,0,1,IND,T,"[""Matern"", 2.5]",1.0097597120680804,0.2655034672033165
0,0,1,IND,P,"[""RBF"", null]",275.79314684923634,70.51133613500592
0,0,1,IND,P,"[""Matern"", 0.5]",205.09701373420617,60.19461465960156
0,0,1,IND,P,"[""Matern"", 1.5]",246.3600564501763,39.642550483054
0,0,1,IND,P,"[""Matern"", 2.5]",250.4079494880939,29.562765925353837
0,0,1,IND,TD,"[""RBF"", null]",2.2200730438037164,0.5454678166814139
