method,T_RMSE_mean,T_RMSE_std,T_RMSE_median,T_RMSE_min,T_RMSE_max,T_MAE_mean,T_MAE_std,T_MAE_median,T_MAE_min,T_MAE_max,T_R2_mean,T_R2_std,T_R2_median,T_R2_min,T_R2_max,T_NLL_mean,T_NLL_std,T_NLL_median,T_NLL_min,T_NLL_max,T_CRPS_mean,T_CRPS_std,T_CRPS_median,T_CRPS_min,T_CRPS_max,T_NRMSE_mean,T_NRMSE_std,T_NRMSE_median,T_NRMSE_min,T_NRMSE_max,T_NMAE_mean,T_NMAE_std,T_NMAE_median,T_NMAE_min,T_NMAE_max,T_normalized_NLL_mean,T_normalized_NLL_std,T_normalized_NLL_median,T_normalized_NLL_min,T_normalized_NLL_max,T_normalized_CRPS_mean,T_normalized_CRPS_std,T_normalized_CRPS_median,T_normalized_CRPS_min,T_normalized_CRPS_max,P_RMSE_mean,P_RMSE_std,P_RMSE_median,P_RMSE_min,P_RMSE_max,P_MAE_mean,P_MAE_std,P_MAE_median,P_MAE_min,P_MAE_max,P_R2_mean,P_R2_std,P_R2_median,P_R2_min,P_R2_max,P_NLL_mean,P_NLL_std,P_NLL_median,P_NLL_min,P_NLL_max,P_CRPS_mean,P_CRPS_std,P_CRPS_median,P_CRPS_min,P_CRPS_max,P_NRMSE_mean,P_NRMSE_std,P_NRMSE_median,P_NRMSE_min,P_NRMSE_max,P_NMAE_mean,P_NMAE_std,P_NMAE_median,P_NMAE_min,P_NMAE_max,P_normalized_NLL_mean,P_normalized_NLL_std,P_normalized_NLL_median,P_normalized_NLL_min,P_normalized_NLL_max,P_normalized_CRPS_mean,P_normalized_CRPS_std,P_normalized_CRPS_median,P_normalized_CRPS_min,P_normalized_CRPS_max,TD_RMSE_mean,TD_RMSE_std,TD_RMSE_median,TD_RMSE_min,TD_RMSE_max,TD_MAE_mean,TD_MAE_std,TD_MAE_median,TD_MAE_min,TD_MAE_max,TD_R2_mean,TD_R2_std,TD_R2_median,TD_R2_min,TD_R2_max,TD_NLL_mean,TD_NLL_std,TD_NLL_median,TD_NLL_min,TD_NLL_max,TD_CRPS_mean,TD_CRPS_std,TD_CRPS_median,TD_CRPS_min,TD_CRPS_max,TD_NRMSE_mean,TD_NRMSE_std,TD_NRMSE_median,TD_NRMSE_min,TD_NRMSE_max,TD_NMAE_mean,TD_NMAE_std,TD_NMAE_median,TD_NMAE_min,TD_NMAE_max,TD_normalized_NLL_mean,TD_normalized_NLL_std,TD_normalized_NLL_median,TD_normalized_NLL_min,TD_normalized_NLL_max,TD_normalized_CRPS_mean,TD_normalized_CRPS_std,TD_normalized_CRPS_median,TD_normalized_CRPS_min,TD_normalized_CRPS_max,macro_NRMSE_mean,macro_NRMSE_std,macro_NRMSE_median,macro_NRMSE_min,macro_NRMSE_max,macro_NMAE_mean,macro_NMAE_std,macro_NMAE_median,macro_NMAE_min,macro_NMAE_max,macro_R2_mean,macro_R2_std,macro_R2_median,macro_R2_min,macro_R2_max,macro_normalized_NLL_mean,macro_normalized_NLL_std,macro_normalized_NLL_median,macro_normalized_NLL_min,macro_normalized_NLL_max,macro_normalized_CRPS_mean,macro_normalized_CRPS_std,macro_normalized_CRPS_median,macro_normalized_CRPS_min,macro_normalized_CRPS_max,macro_raw_RMSE_mean,macro_raw_RMSE_std,macro_raw_RMSE_median,macro_raw_RMSE_min,macro_raw_RMSE_max,macro_raw_MAE_mean,macro_raw_MAE_std,macro_raw_MAE_median,macro_raw_MAE_min,macro_raw_MAE_max,macro_raw_NLL_mean,macro_raw_NLL_std,macro_raw_NLL_median,macro_raw_NLL_min,macro_raw_NLL_max,macro_raw_CRPS_mean,macro_raw_CRPS_std,macro_raw_CRPS_median,macro_raw_CRPS_min,macro_raw_CRPS_max
Model Selection,1.2421165879599694,0.0848024502561747,1.2212346533607636,1.1523094890501697,1.413447495267775,0.8584819914924893,0.06843118627146097,0.828397207767689,0.7991160252889102,0.9997487053830247,0.8486309108882809,0.02113448931142674,0.8542704225522879,0.8048117053164835,0.8702723099431013,2.6760255312521415,0.34080883471813805,2.6654086436132793,2.13585340841328,3.161960714101967,0.6691793077422095,0.05351681692681594,0.6439748330634248,0.6200874007414587,0.7824539739254456,0.3882483028286761,0.026506696478265025,0.381721237860293,0.36017730363933065,0.44180119361938874,0.2683356614320351,0.02138953153671593,0.25893206249829476,0.24977964515486814,0.3124913892001213,1.5130984927039735,0.34080883471813805,1.5024816050651109,0.9729263698651124,1.9990336755537974,0.20916533362273576,0.0167277480600709,0.20128717257684056,0.1938206793765765,0.2445715888208537,212.90475301594938,3.1808098585098032,212.17093900559055,209.69837896710695,218.76043676553138,129.3633019715714,4.586331238321435,128.84603322932583,121.97752388219749,137.34974789690335,0.8876352744709475,0.0033710019989969353,0.8884233296547013,0.8813931941008875,0.8910161380847836,7.533981712721124,0.4692229712999319,7.506845182999618,6.8431353571712945,8.220368218905662,107.28512601996636,2.5576165327061178,107.43336277694516,102.88671595972522,112.11391357980237,0.33517481661083653,0.0050075319874145615,0.33401957712996844,0.33012703905499213,0.34439338829180866,0.20365595600980094,0.007220236795774012,0.20284162258903557,0.19202856497429507,0.21622897521428525,1.08003377332157,0.4692229712999322,1.0528972436000648,0.38918741777173727,1.7664202795061066,0.16889840141858595,0.0040264420599684676,0.1691317697541047,0.16197400793071426,0.1765003359075707,1.9914333572083103,0.17078889120418564,2.0021618981794966,1.720972583494042,2.2393094077600875,1.3513053038710885,0.12742621534300735,1.3434556607087191,1.183557905607516,1.5867146506017187,0.6398672763898599,0.0613223412783614,0.6383511188520699,0.5476299251049956,0.7328140838572201,3.11145629630106,0.6526816598638332,2.990223568038857,2.458416241592789,4.3997453014387595,1.065331529934696,0.10874418827257984,1.0497927785803856,0.9346799101959192,1.2511666834630224,0.5981341608481457,0.051297056842417456,0.601356516659199,0.516900296133384,0.6725846228505412,0.40586940107985514,0.03827292141530202,0.4035117325649203,0.35548586756533335,0.4765754438167935,1.9086614358879888,0.652681659863833,1.7874287076257844,1.255621381179717,3.196950441025689,0.31997615103516935,0.0326617074902842,0.31530903126021104,0.2807344678259181,0.37579240680361453,0.44051909342921947,0.02471697880550446,0.4445623654561616,0.4050085139860348,0.4788490402673304,0.2926203395072303,0.018404634394968915,0.29006874972894614,0.2692117215787439,0.320792394465022,0.7920444872496961,0.02609384486080991,0.7885605762338499,0.7537724546776975,0.8294691805854226,1.500597900637844,0.36398458610590645,1.3243250170243175,1.1386340845307652,2.2071839931153576,0.23267996202549698,0.01525783456443023,0.2318597415941836,0.21463457727421476,0.2552683609539102,72.04610098703922,1.1103043041972431,71.81265088903584,70.86556077666545,74.0645371640004,43.85769642231166,1.5556990008782805,43.64294531976753,41.40080672162185,46.56931035832641,4.440487846758108,0.36398458610590684,4.264214963144582,4.07852403065103,5.147073939235624,36.33987895254775,0.8774526634446459,36.35883094346062,34.882173013061895,38.002635575442184
Model Selection + Bagging,1.3523235895321564,0.06300214278957798,1.3343682410440278,1.2577934462328455,1.4405992445732416,0.9247566667993878,0.049151123695271456,0.9171442086190995,0.8690406104833158,0.9998852481186299,0.8209793288571431,0.016695705236247246,0.8260400698768925,0.7972407042935885,0.8454343218793001,1.6445291142185472,0.043570874849850935,1.641574535178214,1.5635622359370973,1.7178997566570076,0.6983786512015211,0.0321174587291016,0.6895059199052744,0.6558336884955093,0.7438626171991245,0.4226956982945982,0.019692575761182825,0.4170833961606555,0.3931484174210801,0.45028801417138725,0.2890511324738356,0.01536316360459591,0.28667170690501254,0.27163596829786296,0.3125340683542973,0.4816020756703786,0.043570874849850845,0.4786474966300457,0.40063519738892894,0.5549727181088389,0.2182921705490571,0.010038952030439861,0.2155188214926048,0.20499389426434267,0.23250909090553484,238.34487646928082,20.32116003894445,235.38835676709084,209.28957966702416,274.3560511747364,149.62308841992927,13.470896548450098,150.75981218649656,128.91039678715708,173.99222403501267,0.8582850388248918,0.02448654316864054,0.86267603238025,0.8134474741239694,0.8914406439863762,6.937567366911241,0.06023037076311787,6.927719394361193,6.827510673833218,7.041281983575313,123.97570130108711,8.916050978615688,123.47206164833214,111.75832866448224,143.4871200216061,0.37522506721462945,0.031991493815370205,0.37057063402349427,0.32948346849822946,0.43191726739739233,0.23555082970900082,0.02120716055536846,0.23734036786913684,0.2029429497946846,0.273915029873843,0.48361942751168707,0.060230370763118816,0.47377145496163864,0.373562734433661,0.5873340441757582,0.19517428502255565,0.014036491479485753,0.19438140780465044,0.1759405404727872,0.22589100740111762,1.8538684669063794,0.09043429484907042,1.841845996518556,1.7432892318266175,2.000833998664908,1.313378513787783,0.06316142268085873,1.3063666907799507,1.204211922995876,1.4132433734078822,0.6892918744506632,0.03054699980020871,0.693958214624931,0.6388498701290573,0.7258397082101636,1.9353879551198996,0.03484498716163699,1.9332137508770326,1.8663371201196841,1.9930198572934745,0.9698681756860579,0.03941130805764105,0.9585743031219767,0.9054389182718555,1.0333147524173543,0.5568160519970116,0.02716226524259449,0.5532050598386682,0.5236031816078245,0.6009576772709897,0.39447795346850095,0.01897076013939571,0.392371927245919,0.36168937586452543,0.42447272270889463,0.7325930947068282,0.03484498716163736,0.7304188904639608,0.6635422597066118,0.7902249968804029,0.2913033897406092,0.011837327916426487,0.2879112345553047,0.2719518308857668,0.31035979692315296,0.45157893916874636,0.023256647589790222,0.4456835157858292,0.42526252996612257,0.4905030372447734,0.3063599718837791,0.015385188941415037,0.3045004889428822,0.28846439718475575,0.332171231365418,0.789518747377566,0.021141112551960786,0.7965527609595369,0.7532991372451324,0.8139809165948676,0.565938199296298,0.03593297081152863,0.5600728884629187,0.5121119869561929,0.644177253055,0.23492328177074065,0.01028540220465071,0.23246717983956003,0.22440513017298688,0.2553694765645996,80.51702284190645,6.811249076057746,79.53163210116253,70.81531056189503,92.58673348375027,50.62040786683881,4.5157038780067245,50.99136701238115,43.69438115056568,58.78641898889777,3.505828145416563,0.03593297081152856,3.499962834583183,3.452001933076458,3.5840671991752653,41.881316042658234,2.988890494858945,41.70602531353537,37.798863224671855,48.41860486664155
Single GP,1.2158520629422995,0.12209173521249564,1.2089099142949165,1.0521817351159015,1.431990229625064,0.8387847978197766,0.07533350797276993,0.8420387777168243,0.7190121848858178,0.9583475465714071,0.8542597904749094,0.029502030134704784,0.8572145993652325,0.7996568406218054,0.8918376969889583,3.828208116452347,0.3515176353260948,3.794872166745822,3.1883445728322086,4.482557154778463,0.6787399983708958,0.06369664717504589,0.6774308602749506,0.5749776253797473,0.7665756608041238,0.38003880191583567,0.03816220590332154,0.3778688949550426,0.32888037796597375,0.4475970949170632,0.2621789108596283,0.023546989791509862,0.2631960071489084,0.22474159285927958,0.2995506316258659,2.6652810779041785,0.3515176353260948,2.6319451281976525,2.025417534284041,3.3196301162302944,0.2121537180839351,0.01990965695273812,0.2117445208726219,0.17972071976333964,0.2396085054992951,227.23875677006123,13.734774030801962,228.87181184753723,202.62869248437264,246.25832053590037,136.60420014233802,9.848352222323626,137.6606277916111,118.19199021347438,150.46648397397922,0.8716007646094607,0.015297946811910485,0.8701312029938282,0.8497017674659977,0.8982407421477854,8.022119872005252,0.3347181030869496,7.922999210976226,7.671221758418118,8.543314863398802,113.08424590850625,7.347914050263141,114.49920193158698,100.32763647486148,125.83013332414328,0.3577407622345285,0.02162258146778175,0.3603116721289986,0.31899726934915074,0.38768315998248154,0.21505526336252417,0.015504208352685086,0.21671839177366475,0.1860690195192748,0.23687858282937352,1.568171932605697,0.33471810308694927,1.4690512715766717,1.217273819018565,2.089366923999248,0.17802792491494485,0.01156778188077669,0.1802554826318595,0.1579452627529702,0.19809370746118263,2.0659271407507296,0.14753377096944448,2.0078216319866367,1.9261105519915043,2.356240624971915,1.4385455501211932,0.11951758621491379,1.4636711139860452,1.2518895473636165,1.6160285499058333,0.613201810537245,0.056388110771423,0.6362654247553297,0.49915316038997215,0.6653212952888601,2.5704456548594257,0.6930959486146862,2.335324613470614,2.120412431377645,4.4961350200749335,1.1022259805655161,0.09562678201122946,1.1024172511732484,0.9850049326282627,1.2910714020520597,0.6205086362712204,0.04431229796174419,0.6030564380344758,0.5785142217017141,0.7077053338855289,0.4320723223546811,0.035897536253720407,0.43961887569714775,0.37600952157224243,0.4853799787503821,1.3676507944463545,0.6930959486146866,1.1325297530575424,0.9176175709645729,3.293340159661863,0.3310575317844377,0.02872184740998704,0.331114980598397,0.2958497690501735,0.38777793234517455,0.45276273347386153,0.0212474848163252,0.4538956340826513,0.42323585167691147,0.48402049927370555,0.3031021655256112,0.015086477185479119,0.3038113508728114,0.2770870284102959,0.32194362014723393,0.7796874552072051,0.021964607485028716,0.7858598023390385,0.7494078975115371,0.8087181073372897,1.8670346016520767,0.22214248314712656,1.82496984925195,1.5363285034596643,2.274950076657174,0.24041305826110593,0.010953254325934862,0.23962782621827938,0.2224450862431356,0.25317227609253234,76.84017865791809,4.5797549081666435,77.30583572813799,68.62431063041447,83.15835317826946,46.29384349675966,3.284660245227356,46.62096334614469,40.15673573320477,50.89296565815474,4.806924547772342,0.22214248314712656,4.7648597953722165,4.476218449579928,5.214840022777437,38.288403962480885,2.4482711675428797,38.74845546831523,34.03180828794288,42.522767582633556
