repeat,partition_seed,method,n_observations,T_RMSE,T_MAE,T_R2,T_NLL,T_CRPS,T_NRMSE,T_NMAE,T_normalized_NLL,T_normalized_CRPS,T_normalization_location,T_normalization_scale,P_RMSE,P_MAE,P_R2,P_NLL,P_CRPS,P_NRMSE,P_NMAE,P_normalized_NLL,P_normalized_CRPS,P_normalization_location,P_normalization_scale,TD_RMSE,TD_MAE,TD_R2,TD_NLL,TD_CRPS,TD_NRMSE,TD_NMAE,TD_normalized_NLL,TD_normalized_CRPS,TD_normalization_location,TD_normalization_scale,macro_NRMSE,macro_NMAE,macro_R2,macro_normalized_NLL,macro_normalized_CRPS,macro_raw_RMSE,macro_raw_MAE,macro_raw_NLL,macro_raw_CRPS,n_samples,n_targets
0,0,Single GP,100,1.102785456331335,0.7689159244310321,0.8811835784214391,4.120100923943358,0.6211539180746848,0.34469757988497807,0.2403400015521825,2.9571738853951923,0.19415404063153133,309.1309,3.1992840120877055,233.09943149119528,146.23712523144707,0.8653350806008497,7.672917328458543,117.46790320742474,0.3669671911753832,0.23022032592891117,1.2189693890589877,0.18492909320938736,665.2589999999999,635.2051003376783,1.9825734269010915,1.4651741745189235,0.6454118479611837,2.32390546481041,1.0950635869009966,0.5954730489609219,0.44007032532627194,1.1211106043973391,0.3289062811243618,6.043099999999999,3.3294091653024567,0.43571260667376105,0.3035435509357885,0.7973101689944908,1.7657512929505064,0.23599647165509352,78.72826345814256,49.49040511013234,4.70564123907077,39.72804023746681,100,3
0,0,Model Selection,100,1.1773307793953376,0.7991160252889102,0.8645773198142642,2.9244947352842643,0.6200874007414587,0.3679982067697283,0.24977964515486814,1.7615676967360974,0.1938206793765765,309.1309,3.1992840120877055,209.69837896710695,131.8281181094358,0.8910161380847836,7.094599375552665,107.38066411878111,0.33012703905499213,0.20753630290335395,0.6406514361531102,0.1690488065377577,665.2589999999999,635.2051003376783,1.720972583494042,1.2351403767459075,0.7328140838572201,2.476293614069577,0.9356779940909925,0.516900296133384,0.37097884802443715,1.2734987536565052,0.28103424590831005,6.043099999999999,3.3294091653024567,0.4050085139860348,0.2760982653608864,0.8294691805854226,1.2252392955152376,0.21463457727421476,70.86556077666545,44.62079150382353,4.165129241635502,36.31214317120452,100,3
0,0,Model Selection + Bagging,100,1.2577934462328455,0.8788708866486076,0.8454343218793001,1.6095145649924976,0.6648355075687736,0.3931484174210801,0.27470861709307787,0.4465875264443294,0.20780759227904028,309.1309,3.1992840120877055,227.2486794868314,150.95668191238946,0.8720103700545601,6.905100559380665,121.69767385400205,0.35775638351459216,0.2376502988281108,0.45115261998111317,0.19158799856818984,665.2589999999999,635.2051003376783,1.747549568281913,1.311348083279849,0.7244980578507426,1.9361696846652499,0.9470026731514022,0.5248827889626956,0.39386810637337855,0.733374824252178,0.2844356539354253,6.043099999999999,3.3294091653024567,0.42526252996612257,0.3020756740981891,0.8139809165948676,0.5437049902258736,0.22794374826088512,76.75134083378207,51.04896696077264,3.483594936346138,41.10317067824074,100,3
1,1,Single GP,100,1.2906284469165241,0.8883736756633738,0.8372590394384113,3.778823670915313,0.7250611923358897,0.4034116514945852,0.27767890325050015,2.615896632367143,0.22663233073288422,309.1309,3.1992840120877055,246.25832053590037,150.46648397397922,0.8497017674659977,8.461541184322643,125.83013332414328,0.38768315998248154,0.23687858282937352,2.0075932449230867,0.19809370746118263,665.2589999999999,635.2051003376783,1.9261105519915043,1.3240393248216278,0.6653212952888601,2.2046850030962255,1.0131082314215019,0.5785142217017141,0.39767996634962927,1.0018901426831546,0.3042906957725837,6.043099999999999,3.3294091653024567,0.4565363443929269,0.30407915080983433,0.784094034064423,1.8751266733244611,0.24300557798888353,83.15835317826946,50.89296565815474,4.8150166194447275,42.522767582633556,100,3
1,1,Model Selection,100,1.1706352176067456,0.8019643186525865,0.8661132562184847,2.13585340841328,0.6271396447016472,0.36590537544769053,0.2506699360302375,0.9729263698651124,0.19602499882228483,309.1309,3.1992840120877055,214.36502193239326,127.35444465090593,0.8861114949414067,8.101116154600266,107.92180503503877,0.3374737101739827,0.2004934226491628,1.6471682152007128,0.16990072179468796,665.2589999999999,635.2051003376783,1.8060510613742933,1.210786875670558,0.7057437419485519,2.458416241592789,0.9346799101959192,0.5424539225145746,0.3636641865135748,1.255621381179717,0.2807344678259181,6.043099999999999,3.3294091653024567,0.41527766937874927,0.27160918173099174,0.8193228310361477,1.2919053220818473,0.21555339614763028,72.4472360704581,43.12239861507636,4.231795268202112,36.49454152997878,100,3
1,1,Model Selection + Bagging,100,1.3213588458628371,0.8713821849480127,0.8294169161309112,1.6392094823963559,0.6733691751581361,0.4130170503370156,0.27236787407923463,0.4762824438481871,0.21047496021421555,309.1309,3.1992840120877055,219.76685237530293,137.5102425283716,0.880299373659315,6.986593029278556,116.9756012485946,0.34597778301602694,0.21648164105620452,0.5326450898790039,0.18415406486252986,665.2589999999999,635.2051003376783,1.7957494495981858,1.2536679674055287,0.7090910100052025,1.928049211284963,0.9410402929973525,0.5393597964205319,0.37654367641882813,0.725254350871891,0.2826448316429333,6.043099999999999,3.3294091653024567,0.43278487659119147,0.28846439718475575,0.8062690999318095,0.578060628199694,0.22575795223989292,74.29465355692132,46.545097560241715,3.517950574319958,39.53000357225003,100,3
2,2,Single GP,100,1.1793075264464077,0.8340308176459257,0.8641221866936593,3.762969001992312,0.6719674620972956,0.36861607846964667,0.2606929595793139,2.6000419634441427,0.21003682685201838,309.1309,3.1992840120877055,209.94780775198882,123.47628144771085,0.8907567190142687,8.034396149775986,103.8469808549362,0.33051971346007697,0.19438805101229562,1.5804482103764284,0.16348574783126055,665.2589999999999,635.2051003376783,1.962155833103052,1.3426755099801637,0.6526777145507776,2.346743762130818,1.0409820061021824,0.5893405513361715,0.40327741149177404,1.1439489017177458,0.312662684103477,6.043099999999999,3.3294091653024567,0.429492114421965,0.28611947402779453,0.8025188734195684,1.774813025179439,0.2287284195955853,71.02975703717942,41.884329258445646,4.7147029712997055,35.18664344104523,100,3
2,2,Model Selection,100,1.2610574465498579,0.9076128175702024,0.8446310786741927,3.161960714101967,0.7108583915749724,0.3941686457923909,0.2836924806116029,1.9990336755537974,0.22219296220315848,309.1309,3.1992840120877055,218.76043676553138,137.34974789690335,0.8813931941008875,8.220368218905662,112.11391357980237,0.34439338829180866,0.21622897521428525,1.7664202795061066,0.1765003359075707,665.2589999999999,635.2051003376783,2.17211727991994,1.4505703605056695,0.574370030782135,4.058892884699242,1.1831347549492144,0.6524032259407254,0.4356840173394231,2.856098024286169,0.35535877274541394,6.043099999999999,3.3294091653024567,0.46365508667497507,0.3118684910551037,0.7667981011857384,2.2071839931153576,0.25135069028538104,74.0645371640004,46.56931035832641,5.147073939235624,38.002635575442184,100,3
2,2,Model Selection + Bagging,100,1.403315277849463,0.9537895582727873,0.8076000674823708,1.7178997566570076,0.7353798259011773,0.43863416706593805,0.29812594151351635,0.5549727181088389,0.22985762536952825,309.1309,3.1992840120877055,274.3560511747364,173.99222403501267,0.8134474741239694,7.041281983575313,143.4871200216061,0.43191726739739233,0.273915029873843,0.5873340441757582,0.22589100740111762,665.2589999999999,635.2051003376783,2.000833998664908,1.4132433734078822,0.6388498701290573,1.9930198572934745,1.0333147524173543,0.6009576772709897,0.42447272270889463,0.7902249968804029,0.31035979692315296,6.043099999999999,3.3294091653024567,0.4905030372447734,0.332171231365418,0.7532991372451324,0.644177253055,0.2553694765645996,92.58673348375027,58.78641898889777,3.5840671991752653,48.41860486664155,100,3
3,3,Single GP,100,1.0787971268749097,0.7624251981906776,0.8862964639695333,3.957660289625187,0.6169598591899131,0.3371995492738189,0.23831119566441814,2.794733251077017,0.19284310391290127,309.1309,3.1992840120877055,224.64419220387921,137.80162821906592,0.8749273253868066,8.543314863398802,113.47455457526522,0.35365615308261406,0.21694036799422722,2.089366923999248,0.17864238576633198,665.2589999999999,635.2051003376783,1.927234663646126,1.2518895473636165,0.664930532655529,2.482781667139486,0.9850049326282627,0.5788518526743014,0.37600952157224243,1.2799868067264148,0.2958497690501735,6.043099999999999,3.3294091653024567,0.42323585167691147,0.2770870284102959,0.8087181073372897,2.0546956606008933,0.2224450862431356,75.88340799813342,46.60531432154007,4.9945856067211585,38.3588397890278,100,3
