repeat,partition_seed,calibration_method,target,nominal_coverage,empirical_coverage,absolute_calibration_error,n_observations
2,2,holdout,TD,0.7,0.84,0.14,50
2,2,holdout,V,0.8,0.86,0.05999999999999994,50
2,2,holdout,TD,0.8,0.84,0.039999999999999925,50
2,2,holdout,V,0.9,0.86,0.040000000000000036,50
2,2,holdout,TD,0.9,0.84,0.06000000000000005,50
2,2,holdout,V,0.95,0.86,0.08999999999999997,50
2,2,holdout,TD,0.95,0.84,0.10999999999999999,50
2,2,cross_fitted,V,0.5,0.48,0.020000000000000018,50
2,2,cross_fitted,TD,0.5,0.6,0.09999999999999998,50
2,2,cross_fitted,V,0.6,0.52,0.07999999999999996,50
2,2,cross_fitted,TD,0.6,0.76,0.16000000000000003,50
2,2,cross_fitted,V,0.7,0.62,0.07999999999999996,50
2,2,cross_fitted,TD,0.7,0.78,0.08000000000000007,50
2,2,cross_fitted,V,0.8,0.74,0.06000000000000005,50
2,2,cross_fitted,TD,0.8,0.8,0.0,50
2,2,cross_fitted,V,0.9,0.9,0.0,50
2,2,cross_fitted,TD,0.9,0.9,0.0,50
2,2,cross_fitted,V,0.95,0.92,0.029999999999999916,50
2,2,cross_fitted,TD,0.95,0.96,0.010000000000000009,50
3,3,uncalibrated,V,0.5,0.48,0.020000000000000018,50
3,3,uncalibrated,TD,0.5,0.56,0.06000000000000005,50
3,3,uncalibrated,V,0.6,0.66,0.06000000000000005,50
3,3,uncalibrated,TD,0.6,0.66,0.06000000000000005,50
3,3,uncalibrated,V,0.7,0.8,0.10000000000000009,50
3,3,uncalibrated,TD,0.7,0.78,0.08000000000000007,50
3,3,uncalibrated,V,0.8,0.88,0.07999999999999996,50
3,3,uncalibrated,TD,0.8,0.9,0.09999999999999998,50
3,3,uncalibrated,V,0.9,0.92,0.020000000000000018,50
3,3,uncalibrated,TD,0.9,0.92,0.020000000000000018,50
3,3,uncalibrated,V,0.95,0.96,0.010000000000000009,50
3,3,uncalibrated,TD,0.95,0.98,0.030000000000000027,50
3,3,holdout,V,0.5,0.68,0.18000000000000005,50
