repeat,partition_seed,calibration_method,observation_id,outer_fold,V_true,V_mean,V_std,V_lower,V_upper,TD_true,TD_mean,TD_std,TD_lower,TD_upper
0,0,uncalibrated,0,4,9.32916,7.63941340431491,0.8938616152769462,6.169141884433924,9.109684924195896,5.16871,4.307378520754526,0.9137250584511692,2.8044345443246748,5.8103224971843765
0,0,uncalibrated,1,3,7.68631,7.250461256118466,1.139407452731425,5.376302774917644,9.124619737319287,3.81186,3.289521473912206,1.0242316865863828,1.6048102693919715,4.974232678432441
0,0,uncalibrated,2,0,4.56985,5.779358069082283,1.135669021988681,3.9113487592477707,7.647367378916796,1.39511,2.3807576151669405,0.9569814803775625,0.8066631562425184,3.9548520740913626
0,0,uncalibrated,3,4,9.23804,7.18652853530544,0.9462338812570752,5.6301123037753715,8.742944766835508,5.04394,3.8426609010784745,0.8281801401644063,2.4804257937598724,5.204896008397077
0,0,uncalibrated,4,0,4.12091,5.278174860276609,1.1980007338824774,3.3076390080594913,7.248710712493727,1.58843,2.3058093584248103,1.01481313490474,0.6365902927987557,3.9750284240508647
0,0,uncalibrated,5,3,9.77341,8.884952389341485,1.0932367679347494,7.0867379264873085,10.683166852195662,4.68698,3.9909079546395114,0.9749613689302684,2.387239210816988,5.594576698462035
0,0,uncalibrated,6,3,6.49371,6.0633650104169465,1.1492792474847933,4.172968871811527,7.953761149022366,4.19441,3.2953883404533055,0.9530709958833127,1.7277260561323877,4.863050624774223
0,0,uncalibrated,7,1,9.75931,10.129023955294732,0.8321774286308234,8.760213893544172,11.497834017045292,4.70237,4.682175079780406,0.7884050651585972,3.3853641488473762,5.978986010713436
0,0,uncalibrated,8,2,5.40848,6.45616297416378,1.220976171187088,4.447835890565377,8.464490057762182,2.08749,3.2442453586178974,1.0592873170464703,1.5018727731903174,4.986617944045477
0,0,uncalibrated,9,4,7.599,6.856174990399383,0.9521496815281711,5.290028133337082,8.422321847461685,3.26644,3.580433181870441,0.873488206883265,2.1436729366791654,5.0171934270617164
0,0,uncalibrated,10,0,8.52081,9.737842364917402,0.8199412319947534,8.389159055583773,11.08652567425103,4.5379,4.4616056607289,0.7339407263077874,3.2543805950941382,5.668830726363661
0,0,uncalibrated,11,0,11.0714,10.319385100562954,1.0943298910648869,8.519372610163465,12.119397590962443,4.87105,4.8655746527149,0.9148277110437971,3.360816974168798,6.370332331261003
0,0,uncalibrated,12,3,8.29498,8.60363984548723,1.1288976212654187,6.746768498691917,10.460511192282542,4.37633,3.661479523317049,0.9895555222760062,2.0338055334315026,5.289153513202596
0,0,uncalibrated,13,2,10.3345,9.21603827615867,1.0423099845290553,7.501590917698321,10.93048563461902,3.57985,3.793276146538584,0.9344845373036025,2.256185866024686,5.330366427052482
0,0,uncalibrated,14,1,4.75967,4.523827356958861,0.8580048454326388,3.1125349750070486,5.935119738910674,1.19214,1.704235297212864,0.9018137712166261,0.22088364479241207,3.187586949633316
0,0,uncalibrated,15,2,10.9876,10.009348512380312,1.0331935118182634,8.309896417123314,11.70880060763731,5.00077,4.4507375736094925,0.8845539652669663,2.995775775605817,5.905699371613168
0,0,uncalibrated,16,2,8.9389,8.408406252793691,1.0641087029859637,6.658103193216602,10.15870931237078,4.29166,3.6413839956079967,0.9326292564213918,2.1073453805822164,5.1754226106337775
0,0,uncalibrated,17,3,7.51834,7.108592079132468,1.2243686048304627,5.094684938751569,9.122499219513369,2.25668,3.2754686681514698,1.0554150176228254,1.5394654484755141,5.011471887827425
0,0,uncalibrated,18,1,9.69876,9.360894352221328,1.0886240770199132,7.570267090748425,11.15152161369423,2.62464,4.293728678449383,0.9025763110333204,2.809122759645746,5.77833459725302
0,0,uncalibrated,19,4,6.43094,6.233576598194385,0.9247771198160812,4.712453598543168,7.754699597845602,3.48185,3.6291611059437763,0.9459727433877516,2.0731744079851993,5.185147803902353
0,0,uncalibrated,20,2,3.52219,4.3497738306431755,1.0553349296763817,2.613902343916403,6.0856453173699485,0.818414,1.7833161851509354,1.0027683463575825,0.13390903365253637,3.4327233366493344
0,0,uncalibrated,21,4,9.13885,7.587192673964215,0.7642282091167493,6.330149132379902,8.844236215548527,4.67367,2.939750542038378,0.7456271048866872,1.7133030942121852,4.16619798986457
